Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R
5914,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
5915,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,NULL
5916,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
5917,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Built-up
5918,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Forest
5919,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Water,Water
5920,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Water,Forest
5921,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
5922,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
5923,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
5924,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5925,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
5926,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Built-up
5927,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
5928,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5929,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5930,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5931,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
5932,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5933,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
5934,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
5935,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Built-up,Forest
5936,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
5937,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5938,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Forest
5939,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
5940,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Grassland,Built-up
5941,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
5942,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
5943,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
5944,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
5945,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
5946,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest,Built-up,Grassland
5947,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest,Built-up,Forest
5948,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest,Water,Forest
5949,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Built-up,Grassland
5950,NULL,Built-up,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
5951,NULL,Built-up,Cropland,Water,Non_Wetland,Shrubland,Built-up,Grassland
5952,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
5953,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5954,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Built-up,Grassland
5955,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Built-up,Bareland
5956,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Built-up,Bareland
5957,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Built-up,Forest
5958,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Built-up
5959,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Water
5960,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
5961,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Bareland
5962,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Built-up
5963,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
5964,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,NULL,Forest
5965,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
5966,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
5967,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5968,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5969,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
5970,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Grassland,Built-up
5971,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
5972,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
5973,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
5974,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
5975,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Built-up
5976,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
5977,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Built-up,Grassland
5978,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Built-up,Wetland
5979,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Built-up,Built-up
5980,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Built-up,Forest
5981,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Grassland
5982,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Water
5983,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Forest
5984,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
5985,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Forest,Built-up
5986,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Forest,Forest
5987,NULL,Built-up,Wetland,NULL,Wetland,Grassland,NULL,Built-up
5988,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
5989,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
5990,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Built-up
5991,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
5992,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5993,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
5994,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
5995,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
5996,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Wetland
5997,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,NULL
5998,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Wetland
5999,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Built-up
6000,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
6001,NULL,Built-up,Wetland,NULL,Wetland,Wetland,NULL,Forest
6002,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
6003,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
6004,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
6005,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
6006,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
6007,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
6008,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
6009,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
6010,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
6011,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
6012,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
6013,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
6014,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Grassland
6015,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Wetland
6016,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Forest
6017,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Grassland
6018,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Wetland
6019,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Built-up
6020,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
6021,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Grassland
6022,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
6023,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
6024,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6025,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Built-up
6026,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
6027,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Built-up
6028,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
6029,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
6030,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
6031,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
6032,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Built-up
6033,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
6034,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Bareland
6035,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Forest,Forest
6036,NULL,Built-up,Wetland,NULL,Wetland,Built-up,NULL,Grassland
6037,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Shrubland,NULL
6038,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Shrubland,Forest
6039,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,NULL
6040,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
6041,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Wetland
6042,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Built-up
6043,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Forest
6044,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
6045,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
6046,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Wetland
6047,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Bareland
6048,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Built-up
6049,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
6050,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Grassland
6051,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Wetland
6052,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Built-up
6053,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Forest,Grassland
6054,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Forest,Forest
6055,NULL,Built-up,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
6056,NULL,Built-up,Wetland,NULL,Wetland,Forest,Shrubland,Forest
6057,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Grassland
6058,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Wetland
6059,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Forest
6060,NULL,Built-up,Wetland,NULL,Wetland,Forest,Bareland,Grassland
6061,NULL,Built-up,Wetland,NULL,Wetland,Forest,Built-up,Forest
6062,NULL,Built-up,Wetland,NULL,Wetland,Forest,Forest,Grassland
6063,NULL,Built-up,Wetland,NULL,Wetland,Forest,Forest,Forest
6064,NULL,Built-up,Wetland,Non_Water,NULL,Built-up,Water,Grassland
6065,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Built-up,Grassland
6066,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Built-up,Wetland
6067,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Built-up,Built-up
6068,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Built-up,Forest
6069,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
6070,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Water
6071,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
6072,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
6073,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
6074,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
6075,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Built-up,Grassland
6076,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Built-up,Wetland
6077,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Built-up,Built-up
6078,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Built-up,Forest
6079,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
6080,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Built-up
6081,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
6082,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
6083,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Built-up,Grassland
6084,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Grassland
6085,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Built-up
6086,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Water
6087,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
6088,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Built-up,Wetland
6089,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
6090,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Forest,Water
6091,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Forest,Forest
6092,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
6093,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
6094,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Built-up,Grassland
6095,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Water,Grassland
6096,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Forest,Forest
6097,NULL,Built-up,Wetland,Water,Wetland,Grassland,Shrubland,Wetland
6098,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Grassland
6099,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Forest
6100,NULL,Built-up,Wetland,Water,Wetland,Wetland,Built-up,Grassland
6101,NULL,Built-up,Wetland,Water,Wetland,Wetland,Built-up,Wetland
6102,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
6103,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Wetland
6104,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Built-up
6105,NULL,Built-up,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
6106,NULL,Built-up,Wetland,Water,Wetland,Bareland,Shrubland,Built-up
6107,NULL,Built-up,Wetland,Water,Wetland,Bareland,Built-up,Built-up
6108,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Bareland
6109,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Built-up
6110,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
6111,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Grassland
6112,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Built-up
6113,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Grassland
6114,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Bareland
6115,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Built-up
6116,NULL,Built-up,Wetland,Water,Wetland,Built-up,Forest,Grassland
6117,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
6118,NULL,Built-up,Wetland,Water,Wetland,Forest,Forest,Forest
6119,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Wetland,Forest
6120,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Shrubland,Grassland
6121,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up,Grassland
6122,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6123,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6124,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
6125,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
6126,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6127,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6128,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Wetland,NULL
6129,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6130,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
6131,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
6132,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Forest
6133,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Water,Grassland
6134,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
6135,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
6136,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
6137,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6138,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
6139,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
6140,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6141,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Bareland
6142,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Built-up
6143,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Built-up
6144,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
6145,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
6146,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Wetland
6147,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
6148,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6149,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
6150,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
6151,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Forest
6152,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6153,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Built-up
6154,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6155,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
6156,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
6157,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6158,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
6159,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Built-up
6160,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Forest
6161,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
6162,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
6163,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
6164,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Shrubland,NULL
6165,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
6166,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
6167,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
6168,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Grassland
6169,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Bareland
6170,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Built-up
6171,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
6172,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6173,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Cropland
6174,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Wetland
6175,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
6176,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Built-up
6177,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
6178,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Forest,Grassland
6179,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest,Shrubland,Forest
6180,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest,Built-up,Forest
6181,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
6182,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
6183,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland,Water,Bareland
6184,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
6185,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
6186,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
6187,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
6188,NULL,Built-up,Bareland,Water,Non_Wetland,Shrubland,Built-up,Grassland
6189,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Built-up,Grassland
6190,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Built-up,Grassland
6191,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Built-up,Bareland
6192,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
6193,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Water,Built-up
6194,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Built-up,Grassland
6195,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Built-up,Built-up
6196,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Grassland
6197,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Bareland
6198,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Built-up
6199,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
6200,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
6201,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
6202,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
6203,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
6204,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
6205,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
6206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
6207,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
6208,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
6209,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
6210,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
6211,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
6212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
6213,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
6214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
6215,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
6216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
6217,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
6218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
6219,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
6220,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
6221,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
6222,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
6223,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6224,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6225,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
6226,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
6227,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6228,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
6229,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6230,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
6231,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
6232,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Forest
6233,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
6234,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6235,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
6236,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
