Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R
1364,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
1365,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1366,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1367,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Cropland
1368,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1369,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1370,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
1371,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1372,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1373,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1374,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1375,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1376,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1377,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
1378,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1379,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1380,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1381,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1382,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1383,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
1384,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1385,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1386,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1387,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1388,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1389,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1390,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1391,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1392,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1393,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1394,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1395,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1396,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1397,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1398,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1399,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1400,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1401,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1402,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1403,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
1404,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1405,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1406,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1407,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
1408,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
1409,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1410,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
1411,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
1412,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
1413,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1414,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1415,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
1416,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1417,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1418,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1419,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1420,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
1421,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1422,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1423,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
1424,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
1425,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1426,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1427,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1428,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1429,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1430,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1431,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1432,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1433,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1434,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1435,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
1436,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
1437,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Water
1438,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1439,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1440,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1441,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
1442,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
1443,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1444,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1445,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
1446,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1447,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1448,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1449,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
1450,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1451,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
1452,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1453,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1454,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1455,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1456,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1457,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1458,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
1459,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1460,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1461,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
1462,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1463,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1464,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1465,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1466,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1467,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1468,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1469,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1470,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
1471,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
1472,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1473,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1474,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1475,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1476,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1477,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
1478,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1479,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1480,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1481,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1482,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1483,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1484,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1485,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1486,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1487,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1488,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1489,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
1490,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
1491,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Wetland,Water
1492,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Water,Grassland
1493,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
1494,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1495,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1496,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,Wetland,Water
1497,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1498,NULL,Cropland,NULL,Water,Non_Wetland,Water,Wetland,Water
1499,NULL,Cropland,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
1500,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1501,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1502,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1503,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1504,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1505,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1506,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1507,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1508,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1509,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1510,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1511,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1512,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
1513,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1514,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1515,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1516,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1517,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
1518,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
1519,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1520,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1521,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1522,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1523,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
1524,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1525,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1526,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1527,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1528,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1529,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1530,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1531,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1532,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1533,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1534,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1535,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1536,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1537,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
1538,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1539,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1540,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1541,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1542,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1543,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1544,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1545,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1546,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1547,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1548,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1549,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1550,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1551,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1552,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1553,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1554,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1555,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1556,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1557,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1558,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1559,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1560,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1561,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1562,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1563,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1564,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1565,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1566,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1567,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1568,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
1569,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1570,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
1571,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1572,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1573,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1574,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
1575,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1576,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1577,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1578,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1579,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1580,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1581,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
1582,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1583,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1584,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
1585,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
1586,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
1587,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1588,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1589,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1590,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1591,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1592,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1593,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
1594,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1595,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
1596,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1597,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1598,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
1599,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1600,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
1601,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1602,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
1603,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1604,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
1605,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1606,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
1607,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1608,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
1609,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1610,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1611,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1612,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1613,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1614,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1615,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
1616,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
1617,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1618,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1619,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1620,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1621,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1622,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1623,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1624,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1625,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
1626,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1627,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1628,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1629,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1630,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1631,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1632,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1633,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
1634,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1635,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1636,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
1637,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1638,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
1639,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,NULL,Cropland
1640,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1641,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1642,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
1643,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1644,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1645,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1646,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1647,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
1648,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
1649,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Cropland
1650,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
1651,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
1652,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1653,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
1654,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1655,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland,NULL,Cropland
1656,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
1657,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
1658,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
1659,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1660,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
1661,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
1662,NULL,Cropland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
1663,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1664,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1665,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1666,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1667,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
1668,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1669,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
1670,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Water
1671,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1672,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
1673,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1674,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
1675,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
1676,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1677,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
1678,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1679,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1680,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
