Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVV_M_R
1349,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1350,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,NULL
1351,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
1352,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Cropland
1353,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
1354,NULL,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,NULL
1355,NULL,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
1356,NULL,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Cropland
1357,NULL,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
1358,NULL,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Water
1359,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,NULL
1360,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
1361,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Cropland
1362,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1363,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
1364,NULL,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
1365,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
1366,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1367,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
1368,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1369,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
1370,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,NULL
1371,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
1372,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,NULL
1373,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
1374,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Grassland
1375,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Wetland
1376,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Bareland,Grassland
1377,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Water,Grassland
1378,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
1379,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
1380,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1381,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
1382,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1383,NULL,NULL,Wetland,Water,Wetland,NULL,Shrubland,NULL
1384,NULL,NULL,Wetland,Water,Wetland,NULL,Shrubland,Grassland
1385,NULL,NULL,Wetland,Water,Wetland,NULL,Shrubland,Wetland
1386,NULL,NULL,Wetland,Water,Wetland,NULL,Shrubland,Forest
1387,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,NULL
1388,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
1389,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Wetland
1390,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Water
1391,NULL,NULL,Wetland,Water,Wetland,NULL,Water,NULL
1392,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
1393,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Wetland
1394,NULL,NULL,Wetland,Water,Wetland,Shrubland,NULL,NULL
1395,NULL,NULL,Wetland,Water,Wetland,Shrubland,NULL,Grassland
1396,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,NULL
1397,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
1398,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
1399,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Bareland
1400,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Water
1401,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
1402,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,NULL
1403,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
1404,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
1405,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,NULL
1406,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
1407,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Forest
1408,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
1409,NULL,NULL,Wetland,Water,Wetland,Grassland,Shrubland,NULL
1410,NULL,NULL,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
1411,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1412,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Cropland
1413,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Bareland
1414,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
1415,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1416,NULL,NULL,Wetland,Water,Wetland,Bareland,Shrubland,NULL
1417,NULL,NULL,Wetland,Water,Wetland,Water,NULL,NULL
1418,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
1419,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
1420,NULL,NULL,Wetland,Water,Wetland,Water,Shrubland,NULL
1421,NULL,NULL,Wetland,Water,Wetland,Water,Shrubland,Grassland
1422,NULL,NULL,Wetland,Water,Wetland,Water,Shrubland,Water
1423,NULL,NULL,Wetland,Water,Wetland,Water,Shrubland,Forest
1424,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
1425,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
1426,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1427,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1428,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1429,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
1430,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
1431,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Shrubland,Bareland
1432,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,NULL
1433,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1434,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1435,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1436,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Shrubland,NULL
1437,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1438,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1439,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
1440,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Cropland
1441,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
1442,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Built-up
1443,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
1444,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
1445,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Grassland
1446,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
1447,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,NULL
1448,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1449,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1450,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1451,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1452,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1453,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1454,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1455,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1456,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1457,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1458,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Water,Grassland
1459,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Water,Forest
1460,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
1461,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,NULL
1462,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1463,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1464,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1465,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
1466,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1467,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1468,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1469,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Water
1470,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1471,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1472,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1473,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1474,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
1475,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
1476,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,NULL
1477,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
1478,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
1479,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1480,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1481,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1482,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1483,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
1484,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1485,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1486,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1487,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
1488,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1489,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1490,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1491,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
1492,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1493,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
1494,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
1495,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,NULL,Grassland
1496,NULL,NULL,Bareland,NULL,Non_Wetland,Water,NULL,Grassland
1497,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Shrubland,Grassland
1498,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
1499,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Cropland
1500,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1501,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Bareland
1502,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Shrubland,Grassland
1503,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1504,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1505,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
1506,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1507,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
1508,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,NULL
1509,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1510,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1511,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest,NULL
1512,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest,Grassland
1513,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
1514,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1515,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
1516,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1517,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1518,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
1519,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1520,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1521,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Water,NULL
1522,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Forest,NULL
1523,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
1524,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1525,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1526,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1527,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1528,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1529,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1530,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
1531,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Shrubland,NULL
1532,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
1533,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1534,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
1535,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Forest,NULL
1536,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Grassland
1537,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Wetland
1538,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Bareland
1539,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,NULL
1540,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,Water
1541,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,NULL
1542,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
1543,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,NULL
1544,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1545,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
1546,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1547,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1548,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Water
1549,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1550,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Bareland
1551,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Wetland
1552,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
1553,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Water
1554,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1555,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1556,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1557,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1558,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1559,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1560,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1561,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1562,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
1563,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1564,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
1565,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1566,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1567,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1568,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1569,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
1570,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1571,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1572,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1573,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1574,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1575,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1576,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1577,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
1578,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
1579,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1580,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
1581,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1582,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,NULL
1583,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
1584,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
1585,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1586,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
1587,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
1588,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1589,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1590,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1591,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1592,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1593,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1594,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1595,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1596,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
1597,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1598,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1599,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1600,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
1601,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1602,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1603,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Cropland
1604,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1605,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Built-up
1606,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1607,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1608,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1609,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Wetland
1610,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1611,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1612,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1613,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
1614,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1615,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1616,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1617,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1618,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1619,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1620,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1621,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1622,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
1623,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1624,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1625,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1626,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1627,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1628,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1629,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
1630,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1631,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1632,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
1633,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1634,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1635,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,NULL
1636,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1637,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
1638,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Built-up
1639,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1640,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
1641,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1642,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1643,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1644,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1645,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1646,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1647,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1648,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1649,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1650,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1651,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1652,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1653,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1654,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1655,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1656,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1657,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1658,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1659,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1660,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1661,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1662,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1663,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
1664,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1665,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
1666,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1667,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
1668,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1669,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1670,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1671,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
1672,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1673,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1674,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1675,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1676,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
1677,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1678,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
