Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRG_M_R
3353,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3354,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
3355,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3356,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3357,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3358,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
3359,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3360,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3361,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3362,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3363,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3364,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3365,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3366,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3367,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3368,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3369,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3370,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
3371,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
3372,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
3373,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3374,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
3375,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3376,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
3377,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
3378,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3379,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3380,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
3381,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3382,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3383,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3384,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3385,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3386,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3387,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3388,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3389,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3390,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
3391,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,NULL
3392,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3393,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3394,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3395,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
3396,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3397,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
3398,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3399,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
3400,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
3401,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3402,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
3403,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3404,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3405,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3406,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3407,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3408,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3409,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3410,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3411,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
3412,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3413,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
3414,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
3415,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
3416,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3417,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3418,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3419,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3420,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3421,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3422,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3423,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3424,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3425,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
3426,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3427,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3428,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
3429,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
3430,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3431,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
3432,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Wetland
3433,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
3434,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3435,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3436,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
3437,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3438,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3439,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3440,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3441,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3442,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3443,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3444,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3445,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3446,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3447,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3448,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3449,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
3450,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3451,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3452,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3453,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
3454,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
3455,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3456,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
3457,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3458,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
3459,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
3460,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3461,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3462,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3463,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
3464,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
3465,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3466,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3467,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3468,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3469,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3470,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3471,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3472,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3473,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3474,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3475,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3476,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3477,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
3478,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
3479,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3480,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
3481,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Built-up
3482,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
3483,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3484,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3485,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3486,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3487,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3488,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3489,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3490,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3491,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3492,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3493,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3494,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3495,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3496,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3497,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3498,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3499,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
3500,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3501,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
3502,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3503,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3504,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
3505,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3506,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
3507,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3508,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
3509,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3510,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3511,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3512,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3513,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3514,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
3515,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3516,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3517,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3518,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3519,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
3520,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3521,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
3522,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3523,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3524,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
3525,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
3526,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
3527,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
3528,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3529,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3530,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
3531,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
3532,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3533,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
3534,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3535,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
3536,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3537,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
3538,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3539,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
3540,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3541,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
3542,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3543,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
3544,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3545,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3546,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3547,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
3548,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3549,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3550,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,NULL
3551,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
3552,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
3553,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Forest
3554,NULL,Forest,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
3555,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Wetland
3556,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
3557,NULL,Forest,Bareland,NULL,Non_Wetland,Shrubland,Water,Bareland
3558,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3559,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
3560,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
3561,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
3562,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
3563,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
3564,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
3565,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
3566,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
3567,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
3568,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
3569,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
3570,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
3571,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
3572,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
3573,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3574,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3575,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3576,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
3577,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
3578,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
3579,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
3580,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
3581,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Forest,NULL
3582,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
3583,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3584,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
3585,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3586,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3587,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
3588,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3589,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
3590,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
3591,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
3592,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
3593,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
3594,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3595,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
3596,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3597,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3598,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
3599,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
3600,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
3601,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
3602,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
3603,NULL,Forest,Water,NULL,Water,Shrubland,Water,NULL
3604,NULL,Forest,Water,NULL,Water,Shrubland,Water,Forest
3605,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3606,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3607,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3608,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
3609,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
3610,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3611,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3612,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3613,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3614,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Built-up
3615,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3616,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3617,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3618,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3619,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
3620,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
3621,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
3622,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
3623,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
3624,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
3625,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3626,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3627,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3628,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
3629,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
3630,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Built-up
3631,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3632,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3633,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3634,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3635,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3636,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3637,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3638,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3639,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3640,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3641,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
3642,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
3643,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3644,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
3645,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
3646,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3647,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
3648,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3649,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
3650,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
3651,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
3652,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Built-up
3653,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3654,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3655,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3656,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
3657,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3658,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3659,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3660,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3661,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3662,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3663,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3664,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3665,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
3666,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3667,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,NULL
3668,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
3669,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3670,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3671,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3672,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3673,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3674,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3675,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3676,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
