Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKG_M_R
50,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
51,NULL,NULL,Water,NULL,Water,Grassland,Grassland,NULL
52,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
53,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
54,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
55,NULL,NULL,Water,NULL,Water,Forest,Grassland,Grassland
56,NULL,NULL,Water,NULL,Water,Forest,Grassland,Forest
57,NULL,NULL,Water,Water,Water,NULL,NULL,Water
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
86,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
87,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
88,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
92,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
99,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
100,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
106,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
107,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
114,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
115,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
119,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
120,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
121,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
122,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
123,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
125,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
126,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
127,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
128,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
129,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
130,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
131,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
132,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
133,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
134,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
135,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
136,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
137,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
138,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
139,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
140,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
141,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
143,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
144,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
145,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
146,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
147,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
148,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
149,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
150,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
151,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
152,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
153,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
154,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
155,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
156,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
157,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
159,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
160,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
161,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
163,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
164,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
165,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
166,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
167,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
168,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
169,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
170,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
172,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
173,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
175,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
176,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
177,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
178,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
179,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
180,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
182,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
183,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
184,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
185,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
186,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
187,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
188,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
189,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
190,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
191,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
193,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
195,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
196,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
197,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
198,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
199,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
200,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
201,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
202,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
205,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
206,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
207,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
208,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
209,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
210,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
211,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
213,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
214,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
215,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
216,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
217,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
218,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
219,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
220,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
221,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
222,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
225,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
226,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
228,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
230,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
231,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
232,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
235,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
236,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
237,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
238,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
239,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
241,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
242,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
243,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
244,Wetland,Water,Water,Water,Water,NULL,NULL,Water
245,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
246,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
247,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
251,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
252,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
254,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
255,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
256,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
257,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
258,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
259,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
260,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
261,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
262,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
263,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
264,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
266,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,Bareland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
268,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
269,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
270,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
271,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
272,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
273,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
274,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
275,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
276,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
277,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
278,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
279,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
280,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
281,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
282,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
283,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
284,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
287,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
288,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
289,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
290,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
291,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
292,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
293,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
294,Water,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
295,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
296,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
297,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
299,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
301,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
302,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
304,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
305,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
306,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
307,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
308,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
309,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
310,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
311,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
312,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
313,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
315,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
316,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
317,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
320,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
321,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
322,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
323,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
324,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
325,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Water,Grassland
326,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Water,Forest
327,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
328,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
329,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
330,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
331,Water,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
