Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R
1486,Cropland,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
1487,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1488,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1489,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1490,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Forest
1491,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1492,Cropland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1493,Cropland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
1494,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1495,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
1496,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1497,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1498,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1499,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
1500,Cropland,Water,Wetland,Water,Wetland,Bareland,Water,Water
1501,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1502,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
1503,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1504,Cropland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1505,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
1506,Cropland,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
1507,Cropland,Water,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1508,Cropland,Water,Water,Water,Water,Grassland,Water,Water
1509,Cropland,Water,Water,Water,Water,Bareland,Wetland,Water
1510,Cropland,Water,Water,Water,Water,Bareland,Water,Water
1511,Cropland,Water,Water,Water,Water,Water,Water,Grassland
1512,Cropland,Water,Water,Water,Water,Water,Water,Water
1513,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1514,Cropland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1515,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
1516,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1517,Cropland,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
1518,Cropland,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1519,Cropland,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1520,Cropland,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
1521,Cropland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
1522,Cropland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
1523,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1524,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Water
1525,Cropland,Forest,NULL,Water,Non_Wetland,Bareland,Wetland,Water
1526,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1527,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1528,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
1529,Cropland,Forest,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1530,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
1531,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
1532,Cropland,Forest,Cropland,Water,Non_Wetland,Water,Wetland,Water
1533,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1534,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1535,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1536,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1537,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1538,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1539,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1540,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1541,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
1542,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
1543,Cropland,Forest,Wetland,Water,Wetland,Grassland,Water,Water
1544,Cropland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1545,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1546,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1547,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1548,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
1549,Cropland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
1550,Cropland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
1551,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1552,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1553,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Water
1554,Cropland,Forest,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
1555,Cropland,Forest,Water,Water,Water,Wetland,Water,Grassland
1556,Cropland,Forest,Water,Water,Water,Bareland,Wetland,Water
1557,Cropland,Forest,Water,Water,Water,Water,Water,Water
1558,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1559,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1560,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1561,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1562,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1563,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1564,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1565,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1566,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1567,Wetland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
1568,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1569,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1570,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1571,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1572,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1573,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
1574,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
1575,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1576,Wetland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
1577,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Water
1578,Wetland,NULL,Water,Water,Water,Wetland,Water,Grassland
1579,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
1580,Wetland,NULL,Water,Water,Water,Water,Water,Water
1581,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1582,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1583,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1584,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1585,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1586,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1587,Wetland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
1588,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1589,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1590,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1591,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1592,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1593,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1594,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1595,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1596,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1597,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1598,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1599,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
1600,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1601,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1602,Wetland,Wetland,Water,Non_Water,Water,Grassland,Wetland,Grassland
1603,Wetland,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
1604,Wetland,Wetland,Water,Water,Water,NULL,Wetland,Grassland
1605,Wetland,Wetland,Water,Water,Water,Grassland,Wetland,Grassland
1606,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1607,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Water
1608,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
1609,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
1610,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
1611,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
1612,Wetland,Wetland,Water,Water,Water,Water,Water,Water
1613,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1614,Wetland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
1615,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1616,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1617,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1618,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
1619,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1620,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
1621,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1622,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
1623,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1624,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1625,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
1626,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1627,Wetland,Water,Water,NULL,Water,Water,Wetland,Forest
1628,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
1629,Wetland,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
1630,Wetland,Water,Water,Water,Water,NULL,Wetland,Water
1631,Wetland,Water,Water,Water,Water,NULL,Water,Water
1632,Wetland,Water,Water,Water,Water,Grassland,Wetland,Grassland
1633,Wetland,Water,Water,Water,Water,Wetland,Wetland,Grassland
1634,Wetland,Water,Water,Water,Water,Wetland,Wetland,Water
1635,Wetland,Water,Water,Water,Water,Wetland,Wetland,Forest
1636,Wetland,Water,Water,Water,Water,Wetland,Water,Water
1637,Wetland,Water,Water,Water,Water,Water,Wetland,Grassland
1638,Wetland,Water,Water,Water,Water,Water,Wetland,Water
1639,Wetland,Water,Water,Water,Water,Water,Water,Water
1640,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1641,Wetland,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
1642,Wetland,Forest,Wetland,Water,Wetland,Wetland,Grassland,Water
1643,Wetland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1644,Wetland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1645,Wetland,Forest,Water,Water,Water,Wetland,Wetland,Forest
1646,Wetland,Forest,Water,Water,Water,Wetland,Water,Grassland
1647,Wetland,Forest,Water,Water,Water,Water,Wetland,Water
1648,Wetland,Forest,Water,Water,Water,Water,Water,Water
1649,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1650,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1651,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1652,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1653,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1654,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1655,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1656,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
1657,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
1658,Bareland,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
1659,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1660,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1661,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1662,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1663,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1664,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
1665,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1666,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1667,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
1668,Bareland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1669,Bareland,NULL,Water,Water,Water,Bareland,Water,Water
1670,Bareland,NULL,Water,Water,Water,Built-up,Built-up,Grassland
1671,Bareland,NULL,Water,Water,Water,Water,Wetland,Water
1672,Bareland,NULL,Water,Water,Water,Water,Water,Grassland
1673,Bareland,NULL,Water,Water,Water,Water,Water,Water
1674,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1675,Bareland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1676,Bareland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1677,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1678,Bareland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1679,Bareland,Cropland,Wetland,Water,Wetland,Water,Water,Water
1680,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1681,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1682,Bareland,Cropland,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
1683,Bareland,Cropland,Water,Water,Water,Water,Water,Water
1684,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1685,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1686,Bareland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1687,Bareland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1688,Bareland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1689,Bareland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1690,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1691,Bareland,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1692,Bareland,Wetland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1693,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
1694,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Water,Bareland
1695,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Water,Water
1696,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Wetland,Water
1697,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Bareland,Water
1698,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Grassland
1699,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
1700,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Forest,Water
1701,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
1702,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Water
1703,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
1704,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
1705,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
1706,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Water
1707,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Wetland,Bareland
1708,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Wetland,Water
1709,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Water,Grassland
1710,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Water,Water
1711,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Forest
1712,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
1713,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
1714,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Bareland
1715,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
1716,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1717,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Bareland
1718,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1719,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
1720,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
1721,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
1722,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1723,Bareland,Bareland,Wetland,Water,Wetland,Water,Grassland,Water
1724,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
1725,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1726,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
1727,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
1728,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
1729,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1730,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Forest
1731,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1732,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Wetland,Bareland
1733,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
1734,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
1735,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Wetland,Water
1736,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Bareland
1737,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1738,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water,Water,Water
1739,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
1740,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Water
1741,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Grassland,Water
1742,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Wetland,Water
1743,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Water,Bareland
1744,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Water,Water
1745,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Water
1746,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
1747,Bareland,Bareland,Water,Water,Water,Bareland,Wetland,Water
1748,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
1749,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
1750,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
1751,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
1752,Bareland,Bareland,Water,Water,Water,Water,Water,Water
1753,Bareland,Bareland,Water,Water,Water,Water,Water,Forest
1754,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
1755,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1756,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1757,Bareland,Built-up,Wetland,Water,Wetland,Built-up,Wetland,Grassland
1758,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1759,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1760,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
1761,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
1762,Bareland,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
1763,Bareland,Built-up,Water,Water,Water,Built-up,Wetland,Grassland
1764,Bareland,Built-up,Water,Water,Water,Built-up,Built-up,Grassland
1765,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1766,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
1767,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
1768,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
1769,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
1770,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
1771,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
1772,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
1773,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
1774,Bareland,Water,Cropland,Water,Non_Wetland,Built-up,Built-up,Water
1775,Bareland,Water,Cropland,Water,Non_Wetland,Built-up,Water,Water
1776,Bareland,Water,Cropland,Water,Non_Wetland,Water,Water,Water
1777,Bareland,Water,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1778,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
1779,Bareland,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
1780,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1781,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
1782,Bareland,Water,Wetland,NULL,Wetland,Water,Forest,Forest
1783,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
1784,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1785,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
1786,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
1787,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1788,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
1789,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1790,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
1791,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
1792,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
1793,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
1794,Bareland,Water,Wetland,Water,Wetland,Bareland,Forest,Water
1795,Bareland,Water,Wetland,Water,Wetland,Built-up,Bareland,Water
1796,Bareland,Water,Wetland,Water,Wetland,Built-up,Water,Water
1797,Bareland,Water,Wetland,Water,Wetland,Water,Grassland,Water
1798,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1799,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1800,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1801,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
1802,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
1803,Bareland,Water,Wetland,Water,Wetland,Water,Forest,Water
1804,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
1805,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
1806,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
1807,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
1808,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
1809,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
1810,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
1811,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
1812,Bareland,Water,Water,NULL,Water,Water,Water,Forest
1813,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
1814,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
1815,Bareland,Water,Water,Water,Water,Bareland,Water,Water
1816,Bareland,Water,Water,Water,Water,Bareland,Forest,Water
1817,Bareland,Water,Water,Water,Water,Built-up,Built-up,Water
1818,Bareland,Water,Water,Water,Water,Water,Wetland,Water
1819,Bareland,Water,Water,Water,Water,Water,Water,Bareland
1820,Bareland,Water,Water,Water,Water,Water,Water,Water
1821,Bareland,Water,Water,Water,Water,Water,Forest,Water
1822,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
1823,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
1824,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
1825,Bareland,Forest,NULL,Water,Non_Wetland,Water,Water,Bareland
1826,Bareland,Forest,NULL,Water,Non_Wetland,Water,Water,Water
1827,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Water
1828,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
1829,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland,Water,Water
1830,Bareland,Forest,Cropland,Water,Non_Wetland,Water,Wetland,Water
1831,Bareland,Forest,Cropland,Water,Non_Wetland,Water,Bareland,Water
1832,Bareland,Forest,Cropland,Water,Non_Wetland,Water,Water,Water
1833,Bareland,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
1834,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
1835,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
1836,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Bareland
1837,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1838,Bareland,Forest,Wetland,Water,Wetland,Water,Bareland,Water
1839,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1840,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Bareland
1841,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
1842,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
1843,Bareland,Forest,Water,Water,Water,Bareland,Water,Grassland
1844,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
1845,Bareland,Forest,Water,Water,Water,Water,Water,Bareland
