Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R
4140,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4141,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4142,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4143,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4144,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
4145,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4146,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4147,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
4148,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4149,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4150,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4151,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4152,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4153,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4154,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4155,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4156,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4157,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4158,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4159,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
4160,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4161,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
4162,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
4163,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4164,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4165,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Forest
4166,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4167,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4168,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
4169,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4170,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4171,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
4172,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4173,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
4174,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4175,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
4176,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
4177,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
4178,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
4179,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
4180,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
4181,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
4182,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
4183,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4184,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
4185,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4186,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4187,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
4188,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4189,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
4190,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
4191,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4192,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4193,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4194,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
4195,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
4196,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
4197,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
4198,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
4199,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
4200,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
4201,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
4202,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
4203,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4204,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4205,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4206,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
4207,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4208,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4209,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,Forest,Grassland
4210,Grassland,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
4211,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
4212,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
4213,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
4214,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4215,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4216,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4217,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4218,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4219,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4220,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
4221,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4222,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4223,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4224,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4225,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4226,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4227,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4228,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4229,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4230,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
4231,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4232,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4233,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4234,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
4235,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4236,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
4237,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4238,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4239,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4240,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
4241,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4242,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4243,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4244,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4246,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
4247,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
4248,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4249,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4250,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4251,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4252,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4253,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4254,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4255,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4256,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
4257,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4259,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4260,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
4261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4262,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4263,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4264,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
4265,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
4267,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
4268,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
4269,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4270,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
4271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
4272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4273,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
4274,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
4275,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4276,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
4277,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
4278,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
4281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
4282,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
4283,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
4284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
4285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
4286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4289,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
4290,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4291,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
4292,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4293,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4297,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
4298,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4299,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
4300,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
4303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4304,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4305,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4306,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4307,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
4308,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
4309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4310,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4311,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4312,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
4313,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4314,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
4315,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4316,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4317,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4318,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
4319,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
4320,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
4321,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4322,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4323,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4324,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4325,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4326,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4327,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4328,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4329,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4330,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4331,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4332,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4333,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4334,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4335,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
4336,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
4337,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
4338,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
4339,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
4340,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
4341,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
4342,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
4343,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
4344,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4345,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4346,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4347,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4348,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4349,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
4350,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
4351,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4352,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4353,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
4354,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4355,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4356,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4357,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4358,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4359,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4360,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
4361,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
4362,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
4363,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
4364,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
4365,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
4366,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4367,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4368,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
4369,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
4370,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
4371,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
4372,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
4373,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Cropland
4374,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4375,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
4376,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
4377,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
4378,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
4379,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
4380,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4381,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4382,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4383,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
4384,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4385,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
4386,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
4387,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
4388,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
4389,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4390,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4391,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4392,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4393,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4394,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4395,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4396,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4397,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4398,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4399,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4400,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
4401,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4402,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4403,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4404,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4405,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4406,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4407,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4408,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4409,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4410,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4411,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4412,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4413,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4414,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4415,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
4416,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4417,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4418,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4419,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4420,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
4421,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4422,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4423,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4424,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4425,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4426,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4427,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4428,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4429,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4430,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4431,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4432,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4433,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4434,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
4435,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4436,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4437,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4438,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4439,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
4440,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4441,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4442,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
4443,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
4444,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4445,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
