Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LML_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LML_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LML_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LML_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
57,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
133,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
134,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
136,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
137,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
138,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
139,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
140,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
141,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
143,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
144,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
145,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
146,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
147,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
148,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
153,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
168,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
175,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
176,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
177,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
178,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
179,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
180,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
181,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
182,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
183,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
184,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
185,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
191,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
192,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
194,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
195,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
196,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
198,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
199,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
200,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
201,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
202,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
203,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
204,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
205,NULL,NULL,Wetland,Water,Wetland,Shrubland,NULL,Forest
206,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
208,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
209,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
210,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Forest
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
213,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
215,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Forest,NULL,Forest
219,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,NULL,Grassland
221,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
224,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
227,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Wetland
228,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
230,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Wetland
232,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
233,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
234,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
236,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
237,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
238,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
239,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
251,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
252,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
253,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
254,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
255,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
256,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
257,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
258,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
259,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
260,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
261,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
262,NULL,NULL,Water,Water,Water,NULL,NULL,Water
263,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
264,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
265,NULL,NULL,Water,Water,Water,Water,NULL,Water
266,NULL,NULL,Water,Water,Water,Water,NULL,Forest
267,NULL,NULL,Water,Water,Water,Forest,NULL,Water
268,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
271,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
276,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
278,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
281,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
283,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
292,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
305,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
306,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
308,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
310,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
311,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
313,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
315,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
316,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
318,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
321,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
323,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
325,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
328,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
330,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
331,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
332,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
333,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
334,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
335,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
336,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
337,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
