Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGK_M_R
258,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Water
259,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Water
260,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
267,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
273,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Wetland
278,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
280,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
281,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
284,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
288,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
289,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
296,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
297,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Wetland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Water
300,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
301,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Built-up,Water,Non_Wetland,Water,Grassland,Water
304,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
305,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
306,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
307,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
308,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
309,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
310,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
311,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
312,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
313,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
314,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
315,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
316,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
317,NULL,NULL,Water,NULL,Water,Bareland,Water,Bareland
318,NULL,NULL,Water,NULL,Water,Bareland,Water,Forest
319,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
320,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
321,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
322,NULL,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
323,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
324,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
325,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Bareland
326,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
327,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Bareland
328,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
329,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
330,NULL,NULL,Water,Water,Water,Grassland,Grassland,Bareland
331,NULL,NULL,Water,Water,Water,Grassland,Grassland,Water
332,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
