Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
86,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
204,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
205,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
207,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
210,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
235,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
309,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
316,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
