Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R
2568,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2569,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2570,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
2571,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2572,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2573,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
2574,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
2575,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2576,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2577,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2578,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2579,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
2580,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,NULL
2581,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Cropland
2582,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Bareland
2583,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Built-up
2584,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
2585,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
2586,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
2587,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
2588,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
2589,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Built-up
2590,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
2591,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
2592,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
2593,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
2594,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
2595,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
2596,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Built-up
2597,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
2598,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
2599,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
2600,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,Cropland
2601,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,Bareland
2602,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
2603,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
2604,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Built-up
2605,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Forest
2606,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
2607,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
2608,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
2609,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
2610,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
2611,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
2612,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2613,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2614,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Forest
2615,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,NULL,Forest
2616,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2617,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
2618,NULL,Built-up,Wetland,NULL,Wetland,Wetland,NULL,Forest
2619,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
2620,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
2621,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
2622,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
2623,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Forest
2624,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
2625,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Built-up
2626,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2627,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
2628,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
2629,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2630,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2631,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
2632,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
2633,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
2634,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
2635,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
2636,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
2637,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
2638,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
2639,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2640,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
2641,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
2642,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
2643,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2644,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2645,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
2646,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
2647,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2648,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2649,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
2650,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2651,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2652,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2653,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
2654,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
2655,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2656,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
2657,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2658,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2659,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
2660,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2661,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2662,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Wetland
2663,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2664,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2665,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
2666,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
2667,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
2668,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
2669,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
2670,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
2671,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
2672,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
2673,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
2674,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2675,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
2676,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2677,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2678,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2679,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2680,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
2681,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2682,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
2683,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2684,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2685,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
2686,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
2687,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2688,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
2689,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2690,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2691,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2692,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
2693,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2694,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
2695,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
2696,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2697,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
2698,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
2699,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
2700,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
2701,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
2702,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2703,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
2704,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
2705,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2706,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2707,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2708,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
2709,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
2710,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2711,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
2712,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2713,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2714,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
2715,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
2716,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
2717,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2718,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Cropland
2719,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
2720,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2721,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
2722,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
2723,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2724,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2725,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2726,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2727,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2728,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
2729,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Cropland
2730,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
2731,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
2732,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
2733,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
2734,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
2735,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
2736,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
2737,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
2738,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Water
2739,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
2740,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Forest,Built-up
2741,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
2742,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Water
2743,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Bareland,Built-up
2744,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Forest
2745,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Wetland
2746,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Forest
2747,NULL,Built-up,Water,NULL,Water,Grassland,Built-up,Bareland
2748,NULL,Built-up,Water,NULL,Water,Bareland,NULL,NULL
2749,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Grassland
2750,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Built-up
2751,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Forest
2752,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Grassland
2753,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Cropland
2754,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Bareland
2755,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Forest
2756,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
2757,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Wetland
2758,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
2759,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
2760,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Water
2761,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Forest
2762,NULL,Built-up,Water,NULL,Water,Bareland,Water,Built-up
2763,NULL,Built-up,Water,NULL,Water,Bareland,Forest,Bareland
2764,NULL,Built-up,Water,NULL,Water,Bareland,Forest,Forest
2765,NULL,Built-up,Water,NULL,Water,Built-up,NULL,Forest
2766,NULL,Built-up,Water,NULL,Water,Built-up,Grassland,Forest
2767,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
2768,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
2769,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Water
2770,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
2771,NULL,Built-up,Water,NULL,Water,Water,NULL,Water
2772,NULL,Built-up,Water,NULL,Water,Water,Grassland,Wetland
2773,NULL,Built-up,Water,NULL,Water,Forest,NULL,Forest
2774,NULL,Built-up,Water,NULL,Water,Forest,Grassland,Forest
2775,NULL,Built-up,Water,NULL,Water,Forest,Built-up,Forest
2776,NULL,Built-up,Water,NULL,Water,Forest,Water,Forest
2777,NULL,Built-up,Water,NULL,Water,Forest,Forest,Forest
2778,NULL,Built-up,Water,Non_Water,Water,Bareland,Water,Built-up
2779,NULL,Built-up,Water,Non_Water,Water,Water,NULL,Water
2780,NULL,Built-up,Water,Water,Water,Forest,Forest,Forest
2781,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2782,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2783,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
2784,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
2785,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
2786,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
2787,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2788,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2789,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2790,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Built-up
2791,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2792,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2793,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
2794,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
2795,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
2796,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2797,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2798,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2799,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2800,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2801,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2802,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2803,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2804,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2805,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2806,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2807,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
2808,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2809,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2810,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2811,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2812,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2813,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2814,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2815,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
2816,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2817,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2818,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2819,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
2820,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2821,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
2822,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2823,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Wetland
2824,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2825,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
2826,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2827,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2828,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
2829,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
2830,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2831,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Water
2832,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
2833,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2834,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
2835,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
2836,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2837,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2838,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
2839,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2840,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
2841,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
2842,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
2843,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Water
2844,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2845,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2846,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
2847,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2848,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
2849,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
2850,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
2851,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2852,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2853,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2854,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2855,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
2856,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2857,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
2858,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2859,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2860,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
2861,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Wetland
2862,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
2863,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
2864,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2865,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
2866,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2867,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
2868,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Wetland
2869,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
2870,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
2871,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2872,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
2873,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
2874,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
2875,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
2876,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2877,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
2878,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2879,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Built-up
2880,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
2881,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
2882,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
2883,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2884,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
2885,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Wetland
2886,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
2887,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Water
2888,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
2889,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
2890,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
2891,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Water
2892,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2893,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
2894,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
