Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
60,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Cropland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Bareland
144,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
146,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
153,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
175,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
176,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
179,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
183,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
185,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Wetland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
210,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
215,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
239,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,NULL,Built-up
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Cropland
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Forest
247,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
249,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
250,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
251,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
252,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Forest
253,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
256,NULL,NULL,Wetland,NULL,NULL,NULL,NULL,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
259,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
260,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
261,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
262,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
279,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
280,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
281,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
282,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
284,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
285,NULL,NULL,Wetland,Water,NULL,NULL,Water,Forest
286,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
287,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
288,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Water
289,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
290,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
291,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
293,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
294,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
296,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest,Grassland
297,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
299,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
300,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,NULL,Grassland
301,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Water,Grassland
302,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,Grassland
304,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
305,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
311,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
314,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
315,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
317,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
319,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
321,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
325,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
328,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Wetland
329,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
330,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
