Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R
47,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
52,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
56,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
57,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
58,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
59,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Water,Water,NULL,Water,NULL,NULL,Water
61,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
62,NULL,Water,Water,Non_Water,Water,Water,NULL,Water
63,NULL,Water,Water,Water,Water,NULL,NULL,Water
64,NULL,Water,Water,Water,Water,Water,Water,Water
65,NULL,Water,Water,Water,Water,Water,Water,Forest
66,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
67,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
69,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
70,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
75,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
76,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
79,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
80,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
83,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
88,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
89,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
91,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
92,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
95,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
96,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
97,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
98,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
99,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
101,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
105,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
106,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
107,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
109,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
115,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
116,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
118,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
119,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
120,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
121,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
126,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
127,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
129,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
130,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
131,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
132,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
134,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
135,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
136,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
137,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
138,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
140,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
142,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
143,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
144,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
145,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
146,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
147,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
148,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
149,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
150,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
151,Grassland,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
153,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
156,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
158,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
159,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
160,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
161,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
162,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
167,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
169,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
170,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
171,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
172,Cropland,Water,Water,Water,Water,NULL,NULL,Water
173,Cropland,Water,Water,Water,Water,Water,Water,Water
174,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
175,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
176,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
177,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
178,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
179,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
180,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
181,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Water
182,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
183,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
184,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
185,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
186,Bareland,Water,Water,Water,Water,NULL,NULL,Water
187,Bareland,Water,Water,Water,Water,Bareland,Water,Water
188,Bareland,Water,Water,Water,Water,Bareland,Forest,Water
189,Bareland,Water,Water,Water,Water,Water,NULL,Water
190,Bareland,Water,Water,Water,Water,Water,NULL,Forest
191,Bareland,Water,Water,Water,Water,Water,Wetland,Water
192,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
193,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
194,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
195,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
196,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
197,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
198,Water,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
199,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
202,Water,NULL,Water,NULL,Water,Water,Grassland,Water
203,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
205,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
207,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
208,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
209,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,Water,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
211,Water,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Grassland
212,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
213,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
214,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
215,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
216,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
217,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
218,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Bareland
219,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
220,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
221,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
222,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
223,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
224,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
225,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
226,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
227,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
228,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
229,Water,Water,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
230,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
231,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
232,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
233,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
234,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
235,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
236,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
237,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
238,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
239,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
240,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
241,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
242,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
243,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
244,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
245,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
246,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
247,Water,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
248,Water,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
249,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
250,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
251,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
252,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,Water,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
254,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
255,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
256,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
257,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
258,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
259,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
260,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
261,Water,Water,Wetland,NULL,Wetland,Water,NULL,Bareland
262,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
263,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
264,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
265,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
266,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
267,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
268,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
269,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
270,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Water
271,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
273,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Bareland
274,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
275,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
276,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
277,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
278,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
279,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
280,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
281,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
282,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
283,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
284,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
285,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
286,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
287,Water,Water,Wetland,Water,Wetland,Water,Water,Water
288,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
289,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
290,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Forest
291,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
292,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
293,Water,Water,Bareland,NULL,Non_Wetland,Water,NULL,Water
294,Water,Water,Bareland,NULL,Non_Wetland,Water,NULL,Forest
295,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
296,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
297,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
298,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
299,Water,Water,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
300,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
301,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Forest
302,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
303,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
304,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
305,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
306,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
307,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
308,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
309,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
310,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Forest
311,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
312,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
313,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
314,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
315,Water,Water,Bareland,Water,Non_Wetland,Forest,NULL,Forest
316,Water,Water,Built-up,Non_Water,Non_Wetland,Water,NULL,Water
317,Water,Water,Built-up,Water,Non_Wetland,Water,NULL,Water
318,Water,Water,Built-up,Water,Non_Wetland,Water,NULL,Forest
319,Water,Water,Water,NULL,Water,NULL,NULL,Water
320,Water,Water,Water,NULL,Water,NULL,NULL,Forest
321,Water,Water,Water,NULL,Water,Grassland,Grassland,Forest
322,Water,Water,Water,NULL,Water,Grassland,Wetland,Forest
323,Water,Water,Water,NULL,Water,Grassland,Forest,Grassland
324,Water,Water,Water,NULL,Water,Water,NULL,Water
325,Water,Water,Water,NULL,Water,Water,NULL,Forest
326,Water,Water,Water,NULL,Water,Water,Grassland,Water
327,Water,Water,Water,NULL,Water,Water,Grassland,Forest
328,Water,Water,Water,NULL,Water,Water,Wetland,Water
329,Water,Water,Water,NULL,Water,Water,Wetland,Forest
330,Water,Water,Water,NULL,Water,Water,Water,Water
331,Water,Water,Water,NULL,Water,Water,Water,Forest
332,Water,Water,Water,NULL,Water,Water,Forest,Water
333,Water,Water,Water,NULL,Water,Water,Forest,Forest
334,Water,Water,Water,NULL,Water,Forest,NULL,Water
335,Water,Water,Water,NULL,Water,Forest,NULL,Forest
336,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
337,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
338,Water,Water,Water,Non_Water,Water,Water,NULL,Water
339,Water,Water,Water,Non_Water,Water,Water,NULL,Forest
340,Water,Water,Water,Non_Water,Water,Water,Wetland,Bareland
341,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
342,Water,Water,Water,Non_Water,Water,Water,Water,Water
343,Water,Water,Water,Non_Water,Water,Water,Water,Forest
344,Water,Water,Water,Water,Water,NULL,NULL,Water
345,Water,Water,Water,Water,Water,NULL,NULL,Forest
346,Water,Water,Water,Water,Water,NULL,Water,Forest
347,Water,Water,Water,Water,Water,Bareland,Water,Water
348,Water,Water,Water,Water,Water,Water,NULL,Bareland
349,Water,Water,Water,Water,Water,Water,NULL,Water
350,Water,Water,Water,Water,Water,Water,NULL,Forest
351,Water,Water,Water,Water,Water,Water,Grassland,Water
352,Water,Water,Water,Water,Water,Water,Wetland,Water
353,Water,Water,Water,Water,Water,Water,Wetland,Forest
354,Water,Water,Water,Water,Water,Water,Water,Water
355,Water,Water,Water,Water,Water,Water,Water,Forest
356,Water,Water,Water,Water,Water,Water,Forest,Forest
357,Water,Water,Water,Water,Water,Forest,NULL,Water
358,Water,Water,Water,Water,Water,Forest,NULL,Forest
359,Water,Water,Water,Water,Water,Forest,Water,Water
360,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
361,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
362,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
