Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Forest
106,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
114,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
197,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
203,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Water,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
219,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
226,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
227,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
228,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
237,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
239,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
240,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
241,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,Wetland,Grassland
242,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
247,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
249,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
250,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Bareland
253,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Forest
254,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
304,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
312,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
314,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
315,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
316,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
317,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
318,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
320,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Cropland
322,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
323,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
