Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Water
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
171,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
173,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Water
179,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
180,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
181,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
183,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Water
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
249,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
252,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
255,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
261,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
272,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
275,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
276,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
279,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
282,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
284,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
