Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEF_M_R
3825,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3826,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3827,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3828,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3829,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3830,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3831,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
3832,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3833,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3834,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3835,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3836,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3837,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3838,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3839,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3840,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3841,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3842,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3843,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3844,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
3845,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3846,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3847,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3848,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3849,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3850,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3851,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
3852,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
3853,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
3854,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
3855,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3856,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
3857,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Water
3858,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
3859,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
3860,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
3861,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3862,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3863,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3864,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3865,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3866,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
3867,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3868,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
3869,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
3870,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
3871,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3872,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3873,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3874,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3875,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3876,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
3877,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
3878,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
3879,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
3880,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3881,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3882,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3883,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
3884,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3885,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3886,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3887,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3888,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3889,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
3890,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3891,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
3892,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
3893,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3894,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
3895,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3896,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3897,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3898,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
3899,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
3900,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
3901,NULL,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
3902,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
3903,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3904,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3905,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3906,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3907,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3908,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3909,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3910,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3911,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3912,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3913,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3914,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3915,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3916,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3917,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
3918,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
3919,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
3920,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3921,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3922,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3923,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3924,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3925,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3926,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3927,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3928,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3929,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3930,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3931,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3932,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3933,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3934,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
3935,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3936,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3937,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3938,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3939,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3940,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3941,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3942,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3943,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3944,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3945,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3946,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3947,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3948,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3949,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3950,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3951,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3952,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3953,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3954,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3955,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3956,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3957,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3958,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3959,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
3960,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3961,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
3962,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
3963,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3964,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
3965,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
3966,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3967,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
3968,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3969,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
3970,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
3971,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
3972,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3973,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3974,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3975,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3976,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
3977,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3978,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
3979,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3980,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
3981,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
3982,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
3983,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3984,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3985,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3986,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3987,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3988,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3989,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3990,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3991,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3992,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
3993,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3994,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3995,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
3996,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3997,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3998,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
3999,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4000,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4001,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4002,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4003,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
4004,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
4005,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4006,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4007,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4008,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4009,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
4010,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4011,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
4012,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4013,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4014,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4015,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
4016,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4017,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
4018,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
4019,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4020,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4021,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
4022,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
4023,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4024,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4025,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4026,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4027,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4028,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4029,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
4030,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
4031,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
4032,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
4033,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
4034,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
4035,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
4036,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
4037,NULL,Forest,Shrubland,Water,Non_Wetland,Forest,Bareland,Forest
4038,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4039,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4040,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4041,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4042,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4043,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4044,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
4045,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4046,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4047,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4048,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4049,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4050,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4051,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4052,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
4053,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4054,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
4055,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4056,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
4057,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
4058,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4059,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
4060,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4061,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
4062,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4063,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4064,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4065,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
4066,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4067,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4068,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4069,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4070,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4071,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4072,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4073,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4074,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4075,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4076,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4077,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4078,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4079,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4080,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
4081,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4082,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4083,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4084,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4085,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4086,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4087,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4088,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4089,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
4090,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
4091,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
4092,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
4093,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
4094,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
4095,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4096,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
4097,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Water
4098,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
4099,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
4100,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4101,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4102,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
4103,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4104,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
4105,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4106,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
4107,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
4108,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4109,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4110,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
4111,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
4112,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
4113,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4114,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
4115,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
4116,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
4117,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4118,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
4119,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
4120,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
4121,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
4122,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
4123,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
4124,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
4125,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
4126,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
4127,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
4128,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
4129,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
4130,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4131,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4132,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4133,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
4134,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
4135,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
4136,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4137,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4138,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
4139,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4140,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
4141,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4142,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4143,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4144,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4145,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
4146,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4147,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
