Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
99,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
149,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
156,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
157,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
160,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
165,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
196,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
199,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Built-up
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Wetland
205,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
207,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
208,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
211,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
214,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
215,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
216,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
217,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Forest
218,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
220,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
221,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
222,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
224,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
226,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
227,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
228,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Forest
229,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
230,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
231,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
232,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Forest
233,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
235,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Forest
236,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
237,NULL,NULL,Wetland,Water,Wetland,Forest,Grassland,Forest
238,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
239,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
240,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Wetland
256,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
259,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
260,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
261,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Grassland,Forest
262,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
267,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
268,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
273,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
274,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
276,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
277,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
278,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
279,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
280,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
281,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
282,NULL,NULL,Water,Water,Water,Wetland,Forest,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
285,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
292,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
295,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
300,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
301,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
304,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
307,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
310,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
313,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
327,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
328,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
329,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
330,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
331,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
332,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
