Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCE_M_R
338,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
340,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
341,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
342,NULL,Permanent_ice_and_snow,Water,NULL,Water,NULL,NULL,Bareland
343,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
344,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
345,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
346,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
347,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
348,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
349,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
350,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
351,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
352,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
353,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
354,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
355,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
356,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
357,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
358,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
359,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
360,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
361,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
362,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
363,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
364,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
365,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
366,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
367,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
368,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
369,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
370,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
371,NULL,Forest,Water,NULL,Water,NULL,NULL,Bareland
372,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
373,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
374,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
375,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
376,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
377,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
378,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
379,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
380,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
381,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
382,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
383,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
384,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
385,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
386,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
387,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
388,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
389,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
390,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
391,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
392,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
393,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
394,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
395,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
396,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
397,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
398,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
399,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
400,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
401,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
402,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
403,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
404,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
405,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
406,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
407,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
408,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
409,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
410,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
411,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
412,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
413,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
414,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
415,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
416,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
417,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
418,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
419,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
420,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
421,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
422,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
423,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
424,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
425,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
426,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
427,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
428,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
429,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
430,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
431,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
432,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
433,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
434,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
435,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
436,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
437,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
438,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
439,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
440,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
441,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
442,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
443,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
444,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
445,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
446,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
447,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
448,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
449,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
450,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
451,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
452,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
453,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
454,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
455,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
456,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
457,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
458,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
459,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
460,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
461,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
462,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
463,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
464,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
465,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
466,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
467,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
468,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
469,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
470,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
471,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
472,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
473,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
474,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
475,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
476,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
477,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
478,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
479,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
480,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
481,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
482,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
483,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
484,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
485,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
486,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
487,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
488,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
489,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
490,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
491,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
492,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
493,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
494,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
495,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
496,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
497,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
498,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
499,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
500,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
501,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
502,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
503,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
504,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
505,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
506,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
507,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
508,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
509,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
510,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
511,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
512,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
513,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
514,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
515,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
516,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
517,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
518,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
519,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
520,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
521,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
522,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
523,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
524,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
525,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
526,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
527,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
528,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
529,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
530,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
531,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
532,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
533,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
534,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
535,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
536,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
537,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
538,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
539,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
540,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
541,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
542,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
543,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
544,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
545,Grassland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
546,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
547,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
548,Grassland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
549,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
550,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
551,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
552,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
553,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
554,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
555,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
556,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
557,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
558,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
559,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
560,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
561,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
562,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
563,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
564,Grassland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
565,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
566,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
567,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
568,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
569,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
570,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
571,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
572,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
573,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
574,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
575,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
576,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
577,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
578,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
579,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
580,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
581,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
582,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
583,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
584,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
585,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
586,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
587,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
588,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
589,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
590,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
591,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
592,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
593,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
594,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
595,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
596,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
597,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
598,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
599,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
600,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
601,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
602,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
603,Grassland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
604,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
605,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
606,Grassland,Water,Water,Water,Water,NULL,NULL,Water
607,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
608,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
609,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
610,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
611,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
612,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
613,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
614,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
615,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
616,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
617,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
618,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
619,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
620,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
621,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
622,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
623,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
624,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
625,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
626,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
627,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
628,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
629,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
630,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
631,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
633,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
634,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
635,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
636,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
637,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
638,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
639,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
640,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
641,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
642,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
643,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
644,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
645,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
646,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
647,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
648,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
649,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
650,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
651,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
652,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
653,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
654,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
655,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
656,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
657,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
658,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
659,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
660,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
661,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
662,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
663,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
664,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
665,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
666,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
667,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
668,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
669,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
670,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
671,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
672,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
673,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
674,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
675,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
