Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R
100,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
102,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
123,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Water
127,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
131,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
134,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Forest
136,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
137,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
138,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
139,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Forest
141,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Water,Water
145,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
148,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
149,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
152,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Forest
154,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
157,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
175,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
177,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
178,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
181,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
185,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
186,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
187,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
191,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
192,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
193,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
194,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
196,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
197,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
198,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
200,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
201,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
202,NULL,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
203,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
204,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
205,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
207,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
208,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
209,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
212,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
214,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
216,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
217,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
219,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Water
222,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
223,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
224,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
225,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
226,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
227,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
232,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
239,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
240,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
241,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
243,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
245,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
247,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
248,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
249,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
250,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
251,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
252,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
253,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
254,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
255,NULL,NULL,Water,Water,Water,NULL,Wetland,Grassland
256,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
257,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
258,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
259,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
260,NULL,NULL,Water,Water,Water,Grassland,Water,Water
261,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
262,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
263,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
264,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
265,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
266,NULL,NULL,Water,Water,Water,Wetland,Water,Water
267,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
268,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
269,NULL,NULL,Water,Water,Water,Bareland,Water,Water
270,NULL,NULL,Water,Water,Water,Water,Wetland,Water
271,NULL,NULL,Water,Water,Water,Water,Water,Grassland
272,NULL,NULL,Water,Water,Water,Water,Water,Wetland
273,NULL,NULL,Water,Water,Water,Water,Water,Water
274,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
290,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
293,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
310,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
314,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
318,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
320,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
321,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
323,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
324,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Wetland
326,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
327,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
328,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
330,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Grassland,Grassland
331,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Bareland,Forest
332,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
333,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
334,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
335,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
336,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
337,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
338,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
