Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R
203,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
204,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
205,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
206,Cropland,Forest,Forest,Water,Non_Wetland,Water
207,Cropland,Forest,Forest,Water,Non_Wetland,Forest
208,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
209,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
210,Wetland,NULL,Wetland,NULL,Wetland,Grassland
211,Wetland,NULL,Wetland,NULL,Wetland,Wetland
212,Wetland,NULL,Wetland,NULL,Wetland,Forest
213,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
214,Wetland,NULL,Wetland,Water,Wetland,Wetland
215,Wetland,NULL,Wetland,Water,Wetland,Water
216,Wetland,NULL,Wetland,Water,Wetland,Forest
217,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
218,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
219,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
220,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
221,Wetland,Wetland,Wetland,Water,Wetland,Wetland
222,Wetland,Wetland,Wetland,Water,Wetland,Water
223,Wetland,Wetland,Water,Non_Water,Water,Wetland
224,Wetland,Wetland,Water,Water,Water,Wetland
225,Wetland,Wetland,Water,Water,Water,Water
226,Wetland,Water,NULL,Water,Non_Wetland,Bareland
227,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland
228,Wetland,Water,Wetland,NULL,Wetland,Grassland
229,Wetland,Water,Wetland,NULL,Wetland,Wetland
230,Wetland,Water,Wetland,NULL,Wetland,Water
231,Wetland,Water,Wetland,NULL,Wetland,Forest
232,Wetland,Water,Wetland,Non_Water,NULL,Wetland
233,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
234,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
235,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
236,Wetland,Water,Wetland,Non_Water,Wetland,Water
237,Wetland,Water,Wetland,Water,Wetland,Grassland
238,Wetland,Water,Wetland,Water,Wetland,Wetland
239,Wetland,Water,Wetland,Water,Wetland,Bareland
240,Wetland,Water,Wetland,Water,Wetland,Water
241,Wetland,Water,Wetland,Water,Wetland,Forest
242,Wetland,Water,Water,NULL,Water,Water
243,Wetland,Water,Water,Non_Water,Water,Wetland
244,Wetland,Water,Water,Non_Water,Water,Water
245,Wetland,Water,Water,Water,NULL,Grassland
246,Wetland,Water,Water,Water,NULL,Water
247,Wetland,Water,Water,Water,Water,Wetland
248,Wetland,Water,Water,Water,Water,Water
249,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
250,Wetland,Forest,Wetland,NULL,Wetland,Grassland
251,Wetland,Forest,Wetland,NULL,Wetland,Wetland
252,Wetland,Forest,Wetland,NULL,Wetland,Water
253,Wetland,Forest,Wetland,NULL,Wetland,Forest
254,Wetland,Forest,Wetland,Non_Water,NULL,Wetland
255,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
256,Wetland,Forest,Wetland,Non_Water,Wetland,Water
257,Wetland,Forest,Wetland,Water,Wetland,Wetland
258,Wetland,Forest,Wetland,Water,Wetland,Water
259,Wetland,Forest,Water,Non_Water,NULL,Water
260,Wetland,Forest,Water,Non_Water,Water,Wetland
261,Wetland,Forest,Water,Water,Water,Wetland
262,Wetland,Forest,Water,Water,Water,Water
263,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
264,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
265,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
266,Bareland,NULL,Wetland,NULL,Wetland,Wetland
267,Bareland,Bareland,Wetland,Water,Wetland,Water
268,Bareland,Water,NULL,Non_Water,Non_Wetland,Grassland
269,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland
270,Bareland,Water,NULL,Water,Non_Wetland,Bareland
271,Bareland,Water,NULL,Water,Non_Wetland,Water
272,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
273,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
274,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
275,Bareland,Water,Shrubland,Water,Non_Wetland,Water
276,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
277,Bareland,Water,Wetland,NULL,Wetland,Grassland
278,Bareland,Water,Wetland,NULL,Wetland,Bareland
279,Bareland,Water,Wetland,NULL,Wetland,Water
280,Bareland,Water,Wetland,NULL,Wetland,Forest
281,Bareland,Water,Wetland,Non_Water,NULL,Grassland
282,Bareland,Water,Wetland,Non_Water,NULL,Wetland
283,Bareland,Water,Wetland,Non_Water,NULL,Water
284,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
285,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
286,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
287,Bareland,Water,Wetland,Non_Water,Wetland,Water
288,Bareland,Water,Wetland,Non_Water,Wetland,Forest
289,Bareland,Water,Wetland,Water,NULL,Bareland
290,Bareland,Water,Wetland,Water,NULL,Water
291,Bareland,Water,Wetland,Water,Wetland,Grassland
292,Bareland,Water,Wetland,Water,Wetland,Wetland
293,Bareland,Water,Wetland,Water,Wetland,Bareland
294,Bareland,Water,Wetland,Water,Wetland,Water
295,Bareland,Water,Wetland,Water,Wetland,Forest
296,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
297,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
298,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
299,Bareland,Water,Water,NULL,Water,Wetland
300,Bareland,Water,Water,NULL,Water,Water
301,Bareland,Water,Water,NULL,Water,Forest
302,Bareland,Water,Water,Non_Water,Water,Grassland
303,Bareland,Water,Water,Non_Water,Water,Water
304,Bareland,Water,Water,Water,NULL,Bareland
305,Bareland,Water,Water,Water,NULL,Water
306,Bareland,Water,Water,Water,Water,Wetland
307,Bareland,Water,Water,Water,Water,Water
308,Bareland,Water,Water,Water,Water,Forest
309,Bareland,Water,Forest,NULL,Non_Wetland,Water
310,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
311,Bareland,Water,Forest,Water,Non_Wetland,Water
312,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
313,Bareland,Forest,Wetland,NULL,Wetland,Wetland
314,Bareland,Forest,Wetland,NULL,Wetland,Water
315,Bareland,Forest,Wetland,NULL,Wetland,Forest
316,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland
317,Bareland,Forest,Wetland,Non_Water,Wetland,Wetland
318,Bareland,Forest,Wetland,Non_Water,Wetland,Water
319,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
320,Bareland,Forest,Wetland,Water,Wetland,Wetland
321,Bareland,Forest,Wetland,Water,Wetland,Water
322,Bareland,Forest,Wetland,Water,Wetland,Forest
323,Bareland,Forest,Water,NULL,Water,Wetland
324,Bareland,Forest,Water,NULL,Water,Water
325,Bareland,Forest,Water,Non_Water,Water,Forest
326,Bareland,Forest,Water,Water,Water,Water
327,Bareland,Forest,Water,Water,Water,Forest
328,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
329,Water,NULL,NULL,NULL,Non_Wetland,NULL
330,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
331,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
332,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
333,Water,NULL,Shrubland,NULL,Non_Wetland,Water
334,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
335,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
336,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
337,Water,NULL,Grassland,NULL,Non_Wetland,Forest
338,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
339,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
340,Water,NULL,Wetland,NULL,Wetland,Grassland
341,Water,NULL,Wetland,NULL,Wetland,Wetland
342,Water,NULL,Wetland,NULL,Wetland,Forest
343,Water,NULL,Wetland,Non_Water,Wetland,Wetland
344,Water,NULL,Wetland,Water,NULL,Water
345,Water,NULL,Wetland,Water,Wetland,Wetland
346,Water,NULL,Bareland,NULL,Non_Wetland,NULL
347,Water,NULL,Built-up,NULL,Non_Wetland,NULL
348,Water,NULL,Water,NULL,NULL,NULL
349,Water,NULL,Water,NULL,NULL,Water
350,Water,NULL,Water,Water,NULL,Water
351,Water,NULL,Forest,NULL,Non_Wetland,NULL
352,Water,NULL,Forest,NULL,Non_Wetland,Grassland
353,Water,NULL,Forest,NULL,Non_Wetland,Wetland
354,Water,NULL,Forest,NULL,Non_Wetland,Forest
355,Water,Wetland,Wetland,Non_Water,Wetland,Wetland
356,Water,Wetland,Wetland,Non_Water,Wetland,Water
357,Water,Wetland,Wetland,Water,Wetland,Wetland
358,Water,Wetland,Wetland,Water,Wetland,Water
359,Water,Wetland,Water,Water,Water,Water
360,Water,Bareland,Wetland,NULL,Wetland,Grassland
361,Water,Bareland,Wetland,NULL,Wetland,Wetland
362,Water,Bareland,Wetland,Water,Wetland,Grassland
363,Water,Bareland,Wetland,Water,Wetland,Wetland
364,Water,Bareland,Wetland,Water,Wetland,Water
365,Water,Bareland,Water,Water,Water,Wetland
366,Water,Bareland,Water,Water,Water,Water
367,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up
368,Water,Built-up,Water,Water,Water,Built-up
369,Water,Water,NULL,NULL,Non_Wetland,Water
370,Water,Water,NULL,Water,Non_Wetland,Water
371,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
372,Water,Water,Shrubland,NULL,Non_Wetland,Water
373,Water,Water,Shrubland,NULL,Non_Wetland,Forest
374,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
375,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
376,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
377,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
378,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
379,Water,Water,Shrubland,Water,Non_Wetland,Grassland
380,Water,Water,Shrubland,Water,Non_Wetland,Bareland
381,Water,Water,Shrubland,Water,Non_Wetland,Water
382,Water,Water,Grassland,Water,Non_Wetland,Water
383,Water,Water,Cropland,NULL,Non_Wetland,Wetland
384,Water,Water,Cropland,NULL,Non_Wetland,Built-up
385,Water,Water,Cropland,NULL,Non_Wetland,Water
386,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
387,Water,Water,Cropland,Water,Non_Wetland,Water
388,Water,Water,Wetland,NULL,NULL,Grassland
389,Water,Water,Wetland,NULL,NULL,Wetland
390,Water,Water,Wetland,NULL,NULL,Bareland
391,Water,Water,Wetland,NULL,NULL,Water
392,Water,Water,Wetland,NULL,NULL,Forest
393,Water,Water,Wetland,NULL,Wetland,NULL
394,Water,Water,Wetland,NULL,Wetland,Grassland
395,Water,Water,Wetland,NULL,Wetland,Cropland
396,Water,Water,Wetland,NULL,Wetland,Wetland
397,Water,Water,Wetland,NULL,Wetland,Bareland
398,Water,Water,Wetland,NULL,Wetland,Built-up
399,Water,Water,Wetland,NULL,Wetland,Water
400,Water,Water,Wetland,NULL,Wetland,Forest
401,Water,Water,Wetland,Non_Water,NULL,Grassland
402,Water,Water,Wetland,Non_Water,NULL,Wetland
403,Water,Water,Wetland,Non_Water,NULL,Bareland
404,Water,Water,Wetland,Non_Water,NULL,Water
405,Water,Water,Wetland,Non_Water,NULL,Forest
406,Water,Water,Wetland,Non_Water,Wetland,Grassland
407,Water,Water,Wetland,Non_Water,Wetland,Wetland
408,Water,Water,Wetland,Non_Water,Wetland,Bareland
409,Water,Water,Wetland,Non_Water,Wetland,Built-up
410,Water,Water,Wetland,Non_Water,Wetland,Water
411,Water,Water,Wetland,Non_Water,Wetland,Forest
412,Water,Water,Wetland,Water,NULL,Grassland
413,Water,Water,Wetland,Water,NULL,Wetland
414,Water,Water,Wetland,Water,NULL,Bareland
415,Water,Water,Wetland,Water,NULL,Water
416,Water,Water,Wetland,Water,NULL,Forest
417,Water,Water,Wetland,Water,Wetland,Grassland
418,Water,Water,Wetland,Water,Wetland,Cropland
419,Water,Water,Wetland,Water,Wetland,Wetland
420,Water,Water,Wetland,Water,Wetland,Bareland
421,Water,Water,Wetland,Water,Wetland,Built-up
422,Water,Water,Wetland,Water,Wetland,Water
423,Water,Water,Wetland,Water,Wetland,Forest
424,Water,Water,Bareland,Water,Non_Wetland,Water
425,Water,Water,Built-up,NULL,Non_Wetland,Grassland
426,Water,Water,Built-up,NULL,Non_Wetland,Wetland
427,Water,Water,Built-up,NULL,Non_Wetland,Built-up
428,Water,Water,Built-up,NULL,Non_Wetland,Water
429,Water,Water,Built-up,NULL,Non_Wetland,Forest
430,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland
431,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland
432,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland
433,Water,Water,Built-up,Non_Water,Non_Wetland,Built-up
434,Water,Water,Built-up,Non_Water,Non_Wetland,Water
435,Water,Water,Built-up,Water,Non_Wetland,Grassland
436,Water,Water,Built-up,Water,Non_Wetland,Wetland
437,Water,Water,Built-up,Water,Non_Wetland,Bareland
438,Water,Water,Built-up,Water,Non_Wetland,Built-up
439,Water,Water,Built-up,Water,Non_Wetland,Water
440,Water,Water,Built-up,Water,Non_Wetland,Forest
441,Water,Water,Water,NULL,NULL,Grassland
442,Water,Water,Water,NULL,NULL,Cropland
443,Water,Water,Water,NULL,NULL,Wetland
444,Water,Water,Water,NULL,NULL,Water
445,Water,Water,Water,NULL,NULL,Forest
446,Water,Water,Water,NULL,Water,Grassland
447,Water,Water,Water,NULL,Water,Wetland
448,Water,Water,Water,NULL,Water,Built-up
449,Water,Water,Water,NULL,Water,Water
450,Water,Water,Water,NULL,Water,Forest
451,Water,Water,Water,Non_Water,NULL,Grassland
452,Water,Water,Water,Non_Water,NULL,Wetland
453,Water,Water,Water,Non_Water,NULL,Water
454,Water,Water,Water,Non_Water,NULL,Forest
455,Water,Water,Water,Non_Water,Water,Wetland
456,Water,Water,Water,Non_Water,Water,Bareland
457,Water,Water,Water,Non_Water,Water,Water
458,Water,Water,Water,Non_Water,Water,Forest
459,Water,Water,Water,Water,NULL,Grassland
460,Water,Water,Water,Water,NULL,Cropland
461,Water,Water,Water,Water,NULL,Wetland
462,Water,Water,Water,Water,NULL,Bareland
463,Water,Water,Water,Water,NULL,Water
464,Water,Water,Water,Water,NULL,Forest
465,Water,Water,Water,Water,Water,Grassland
