Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Forest
268,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
275,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
286,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
288,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
