Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
177,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
201,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
202,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
205,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
210,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
211,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
215,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
226,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
248,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
249,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
250,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
251,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
252,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
254,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
255,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
257,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
259,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
261,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
262,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
263,NULL,NULL,Wetland,Water,Wetland,Shrubland,NULL,Grassland
264,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
265,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
266,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Bareland
268,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
269,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
271,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
272,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
273,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
274,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
275,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Bareland
276,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
279,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
281,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
282,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
283,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
285,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
286,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
287,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
288,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
289,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
290,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
291,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
292,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
295,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
296,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
297,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,NULL
298,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
299,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Forest
300,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
301,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
302,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Forest
303,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Forest
305,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
307,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
308,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Forest
310,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
312,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
314,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
319,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
320,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
321,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Bareland
322,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
325,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Forest
