Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R
41,NULL,Water,Wetland,Non_Water,Wetland,Grassland
42,NULL,Water,Wetland,Non_Water,Wetland,Wetland
43,NULL,Water,Wetland,Non_Water,Wetland,Bareland
44,NULL,Water,Wetland,Non_Water,Wetland,Water
45,NULL,Water,Water,NULL,Water,Water
46,NULL,Water,Water,Water,Water,Water
47,NULL,Water,Forest,NULL,Non_Wetland,Forest
48,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
49,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
50,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
51,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
52,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
53,NULL,Forest,Wetland,NULL,Wetland,Grassland
54,NULL,Forest,Wetland,NULL,Wetland,Wetland
55,NULL,Forest,Wetland,NULL,Wetland,Forest
56,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
57,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
58,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
59,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
60,NULL,Forest,Forest,NULL,Non_Wetland,Water
61,NULL,Forest,Forest,NULL,Non_Wetland,Forest
62,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
63,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
64,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
65,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
66,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
67,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
68,Grassland,NULL,Wetland,NULL,Wetland,Grassland
69,Grassland,NULL,Wetland,NULL,Wetland,Wetland
70,Grassland,NULL,Wetland,NULL,Wetland,Forest
71,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
72,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
73,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
74,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
75,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
76,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
77,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
78,Grassland,Water,Cropland,Non_Water,Non_Wetland,Water
79,Grassland,Water,Wetland,NULL,Wetland,Grassland
80,Grassland,Water,Wetland,NULL,Wetland,Wetland
81,Grassland,Water,Wetland,NULL,Wetland,Bareland
82,Grassland,Water,Wetland,NULL,Wetland,Forest
83,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
84,Grassland,Water,Wetland,Non_Water,Wetland,Bareland
85,Grassland,Water,Wetland,Non_Water,Wetland,Water
86,Grassland,Water,Wetland,Non_Water,Wetland,Forest
87,Grassland,Water,Wetland,Water,Wetland,Bareland
88,Grassland,Water,Wetland,Water,Wetland,Water
89,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
90,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
91,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
92,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
93,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
94,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
95,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
96,Grassland,Forest,Wetland,NULL,Wetland,Grassland
97,Grassland,Forest,Wetland,NULL,Wetland,Wetland
98,Grassland,Forest,Wetland,NULL,Wetland,Water
99,Grassland,Forest,Wetland,NULL,Wetland,Forest
100,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
101,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
102,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
103,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
104,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
105,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
106,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
107,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
108,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
109,Cropland,NULL,Wetland,NULL,Wetland,Wetland
110,Cropland,NULL,Wetland,NULL,Wetland,Forest
111,Cropland,NULL,Water,Water,NULL,Water
112,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
113,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
114,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
115,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
116,Cropland,Water,Forest,NULL,Non_Wetland,Forest
117,Cropland,Forest,Wetland,NULL,Wetland,Wetland
118,Cropland,Forest,Wetland,NULL,Wetland,Forest
119,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
120,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
121,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
122,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
123,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
124,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
125,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
126,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
127,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Water
128,Wetland,NULL,Wetland,NULL,Wetland,Grassland
129,Wetland,NULL,Wetland,NULL,Wetland,Wetland
130,Wetland,NULL,Wetland,NULL,Wetland,Bareland
131,Wetland,NULL,Wetland,NULL,Wetland,Water
132,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
133,Wetland,NULL,Wetland,Non_Water,Wetland,Water
134,Wetland,NULL,Wetland,Water,Wetland,Wetland
135,Wetland,NULL,Wetland,Water,Wetland,Water
136,Wetland,NULL,Water,NULL,Water,Wetland
137,Wetland,NULL,Water,NULL,Water,Water
138,Wetland,NULL,Water,Non_Water,Water,Wetland
139,Wetland,NULL,Water,Non_Water,Water,Water
140,Wetland,NULL,Water,Water,Water,Wetland
141,Wetland,NULL,Water,Water,Water,Water
142,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
143,Wetland,NULL,Forest,NULL,Non_Wetland,Water
144,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
145,Wetland,Wetland,Wetland,NULL,Wetland,Water
146,Wetland,Wetland,Wetland,NULL,Wetland,Forest
147,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
148,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
149,Wetland,Wetland,Wetland,Water,Wetland,Wetland
150,Wetland,Wetland,Wetland,Water,Wetland,Water
151,Wetland,Wetland,Water,NULL,Water,Wetland
152,Wetland,Wetland,Water,NULL,Water,Water
153,Wetland,Wetland,Water,Non_Water,Water,Wetland
154,Wetland,Wetland,Water,Non_Water,Water,Water
155,Wetland,Wetland,Water,Water,Water,Wetland
156,Wetland,Wetland,Water,Water,Water,Water
157,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
158,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
159,Wetland,Water,Grassland,Water,Non_Wetland,Bareland
160,Wetland,Water,Grassland,Water,Non_Wetland,Water
161,Wetland,Water,Wetland,NULL,Wetland,Grassland
162,Wetland,Water,Wetland,NULL,Wetland,Wetland
163,Wetland,Water,Wetland,NULL,Wetland,Bareland
164,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
165,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
166,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
167,Wetland,Water,Wetland,Water,Wetland,Grassland
168,Wetland,Water,Wetland,Water,Wetland,Wetland
169,Wetland,Water,Wetland,Water,Wetland,Bareland
170,Wetland,Water,Water,Water,NULL,Bareland
171,Wetland,Water,Water,Water,Water,Wetland
172,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
173,Wetland,Forest,Wetland,NULL,Wetland,Wetland
174,Wetland,Forest,Wetland,NULL,Wetland,Water
175,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
176,Wetland,Forest,Water,NULL,Water,Wetland
177,Wetland,Forest,Water,Non_Water,Water,Wetland
178,Wetland,Forest,Water,Non_Water,Water,Water
179,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
180,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
181,Bareland,NULL,Wetland,NULL,Wetland,Grassland
182,Bareland,NULL,Wetland,NULL,Wetland,Wetland
183,Bareland,NULL,Wetland,NULL,Wetland,Bareland
184,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
185,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
186,Bareland,NULL,Wetland,Non_Water,Wetland,Water
187,Bareland,NULL,Wetland,Water,Wetland,Wetland
188,Bareland,NULL,Wetland,Water,Wetland,Water
189,Bareland,NULL,Water,Water,Water,Wetland
190,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
191,Bareland,Wetland,Wetland,NULL,Wetland,Wetland
192,Bareland,Wetland,Wetland,Water,Wetland,Wetland
193,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
194,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
195,Bareland,Bareland,Wetland,NULL,Wetland,Water
196,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland
197,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
198,Bareland,Bareland,Wetland,Water,Wetland,Wetland
199,Bareland,Bareland,Wetland,Water,Wetland,Water
200,Bareland,Bareland,Water,Water,NULL,Water
201,Bareland,Water,NULL,Non_Water,Non_Wetland,Grassland
202,Bareland,Water,NULL,Water,Non_Wetland,Water
203,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
204,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
205,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
206,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
207,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
208,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
209,Bareland,Water,Shrubland,Water,Non_Wetland,Water
210,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water
211,Bareland,Water,Grassland,Water,Non_Wetland,Water
212,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
213,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
214,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
215,Bareland,Water,Cropland,Water,Non_Wetland,Water
216,Bareland,Water,Wetland,NULL,Wetland,Grassland
217,Bareland,Water,Wetland,NULL,Wetland,Wetland
218,Bareland,Water,Wetland,NULL,Wetland,Bareland
219,Bareland,Water,Wetland,NULL,Wetland,Water
220,Bareland,Water,Wetland,NULL,Wetland,Forest
221,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
222,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
223,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
224,Bareland,Water,Wetland,Non_Water,Wetland,Water
225,Bareland,Water,Wetland,Water,NULL,Water
226,Bareland,Water,Wetland,Water,Wetland,Grassland
227,Bareland,Water,Wetland,Water,Wetland,Wetland
228,Bareland,Water,Wetland,Water,Wetland,Bareland
229,Bareland,Water,Wetland,Water,Wetland,Water
230,Bareland,Water,Water,NULL,Water,Bareland
231,Bareland,Water,Water,NULL,Water,Water
232,Bareland,Water,Water,Non_Water,NULL,Water
233,Bareland,Water,Water,Non_Water,Water,Bareland
234,Bareland,Water,Water,Non_Water,Water,Water
235,Bareland,Water,Water,Water,NULL,Water
236,Bareland,Water,Water,Water,Water,Wetland
237,Bareland,Water,Water,Water,Water,Water
238,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
239,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland
240,Bareland,Forest,NULL,NULL,Non_Wetland,Water
241,Bareland,Forest,Shrubland,NULL,Non_Wetland,Wetland
242,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
243,Bareland,Forest,Shrubland,NULL,Non_Wetland,Water
244,Bareland,Forest,Cropland,NULL,Non_Wetland,Wetland
245,Bareland,Forest,Cropland,Water,Non_Wetland,Water
246,Bareland,Forest,Wetland,NULL,Wetland,Grassland
247,Bareland,Forest,Wetland,NULL,Wetland,Wetland
248,Bareland,Forest,Wetland,NULL,Wetland,Bareland
249,Bareland,Forest,Wetland,NULL,Wetland,Water
250,Bareland,Forest,Wetland,NULL,Wetland,Forest
251,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland
252,Bareland,Forest,Wetland,Non_Water,Wetland,Wetland
253,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland
254,Bareland,Forest,Wetland,Non_Water,Wetland,Water
255,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
256,Bareland,Forest,Wetland,Water,Wetland,Water
257,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland
258,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
259,Water,NULL,NULL,NULL,Non_Wetland,NULL
260,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
261,Water,NULL,Shrubland,NULL,Non_Wetland,Water
262,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
263,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
264,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
265,Water,NULL,Grassland,NULL,Non_Wetland,Forest
266,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
267,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
268,Water,NULL,Wetland,NULL,NULL,NULL
269,Water,NULL,Wetland,NULL,NULL,Water
270,Water,NULL,Wetland,NULL,Wetland,Grassland
271,Water,NULL,Wetland,NULL,Wetland,Wetland
272,Water,NULL,Wetland,NULL,Wetland,Water
273,Water,NULL,Wetland,NULL,Wetland,Forest
274,Water,NULL,Wetland,Non_Water,Wetland,Water
275,Water,NULL,Wetland,Water,NULL,Water
276,Water,NULL,Built-up,NULL,Non_Wetland,Built-up
277,Water,NULL,Water,NULL,NULL,NULL
278,Water,NULL,Water,NULL,NULL,Water
279,Water,NULL,Water,Non_Water,Water,Water
280,Water,NULL,Water,Water,NULL,Water
281,Water,NULL,Forest,NULL,Non_Wetland,NULL
282,Water,NULL,Forest,NULL,Non_Wetland,Grassland
283,Water,NULL,Forest,NULL,Non_Wetland,Wetland
284,Water,NULL,Forest,NULL,Non_Wetland,Water
285,Water,NULL,Forest,NULL,Non_Wetland,Forest
286,Water,Wetland,Water,Water,Water,Wetland
287,Water,Wetland,Water,Water,Water,Water
288,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
289,Water,Built-up,Wetland,NULL,Wetland,Forest
290,Water,Water,NULL,NULL,Non_Wetland,Wetland
291,Water,Water,NULL,NULL,Non_Wetland,Bareland
292,Water,Water,NULL,NULL,Non_Wetland,Water
293,Water,Water,NULL,Water,Non_Wetland,Wetland
294,Water,Water,NULL,Water,Non_Wetland,Bareland
295,Water,Water,NULL,Water,Non_Wetland,Water
296,Water,Water,NULL,Water,Non_Wetland,Forest
297,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
298,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
299,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
300,Water,Water,Shrubland,NULL,Non_Wetland,Built-up
301,Water,Water,Shrubland,NULL,Non_Wetland,Water
302,Water,Water,Shrubland,NULL,Non_Wetland,Forest
303,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
304,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
305,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
306,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
307,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
308,Water,Water,Shrubland,Water,Non_Wetland,Grassland
309,Water,Water,Shrubland,Water,Non_Wetland,Wetland
310,Water,Water,Shrubland,Water,Non_Wetland,Bareland
311,Water,Water,Shrubland,Water,Non_Wetland,Water
312,Water,Water,Shrubland,Water,Non_Wetland,Forest
313,Water,Water,Grassland,NULL,Non_Wetland,Wetland
314,Water,Water,Grassland,NULL,Non_Wetland,Bareland
315,Water,Water,Grassland,NULL,Non_Wetland,Forest
316,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland
317,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
318,Water,Water,Grassland,Non_Water,Non_Wetland,Water
319,Water,Water,Grassland,Water,Non_Wetland,Wetland
320,Water,Water,Grassland,Water,Non_Wetland,Bareland
321,Water,Water,Grassland,Water,Non_Wetland,Water
322,Water,Water,Cropland,NULL,Non_Wetland,Grassland
323,Water,Water,Cropland,NULL,Non_Wetland,Wetland
324,Water,Water,Cropland,NULL,Non_Wetland,Bareland
325,Water,Water,Cropland,NULL,Non_Wetland,Water
326,Water,Water,Cropland,NULL,Non_Wetland,Forest
327,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
328,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
329,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland
330,Water,Water,Cropland,Non_Water,Non_Wetland,Water
331,Water,Water,Cropland,Water,Non_Wetland,Grassland
332,Water,Water,Cropland,Water,Non_Wetland,Wetland
333,Water,Water,Cropland,Water,Non_Wetland,Bareland
334,Water,Water,Cropland,Water,Non_Wetland,Water
335,Water,Water,Cropland,Water,Non_Wetland,Forest
336,Water,Water,Wetland,NULL,NULL,Water
337,Water,Water,Wetland,NULL,Wetland,Grassland
338,Water,Water,Wetland,NULL,Wetland,Wetland
339,Water,Water,Wetland,NULL,Wetland,Bareland
340,Water,Water,Wetland,NULL,Wetland,Water
341,Water,Water,Wetland,NULL,Wetland,Forest
342,Water,Water,Wetland,Non_Water,NULL,Wetland
343,Water,Water,Wetland,Non_Water,Wetland,Grassland
344,Water,Water,Wetland,Non_Water,Wetland,Wetland
345,Water,Water,Wetland,Non_Water,Wetland,Bareland
346,Water,Water,Wetland,Non_Water,Wetland,Water
347,Water,Water,Wetland,Non_Water,Wetland,Forest
348,Water,Water,Wetland,Water,NULL,Wetland
349,Water,Water,Wetland,Water,NULL,Water
350,Water,Water,Wetland,Water,Wetland,Grassland
351,Water,Water,Wetland,Water,Wetland,Wetland
352,Water,Water,Wetland,Water,Wetland,Bareland
353,Water,Water,Wetland,Water,Wetland,Water
354,Water,Water,Wetland,Water,Wetland,Forest
355,Water,Water,Built-up,Non_Water,Non_Wetland,Water
356,Water,Water,Built-up,Water,Non_Wetland,Grassland
357,Water,Water,Water,NULL,NULL,Wetland
358,Water,Water,Water,NULL,NULL,Bareland
359,Water,Water,Water,NULL,NULL,Water
360,Water,Water,Water,NULL,Water,Wetland
361,Water,Water,Water,NULL,Water,Water
362,Water,Water,Water,NULL,Water,Forest
363,Water,Water,Water,Non_Water,NULL,Grassland
364,Water,Water,Water,Non_Water,NULL,Wetland
365,Water,Water,Water,Non_Water,NULL,Bareland
366,Water,Water,Water,Non_Water,NULL,Water
367,Water,Water,Water,Non_Water,Water,Wetland
368,Water,Water,Water,Non_Water,Water,Bareland
369,Water,Water,Water,Non_Water,Water,Water
370,Water,Water,Water,Non_Water,Water,Forest
371,Water,Water,Water,Water,NULL,Wetland
372,Water,Water,Water,Water,NULL,Bareland
373,Water,Water,Water,Water,NULL,Water
374,Water,Water,Water,Water,Water,Grassland
375,Water,Water,Water,Water,Water,Wetland
376,Water,Water,Water,Water,Water,Water
377,Water,Water,Water,Water,Water,Forest
378,Water,Water,Forest,NULL,Non_Wetland,Grassland
379,Water,Water,Forest,NULL,Non_Wetland,Wetland
380,Water,Water,Forest,NULL,Non_Wetland,Bareland
381,Water,Water,Forest,NULL,Non_Wetland,Water
382,Water,Water,Forest,NULL,Non_Wetland,Forest
383,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
384,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
385,Water,Water,Forest,Non_Water,Non_Wetland,Bareland
386,Water,Water,Forest,Non_Water,Non_Wetland,Water
387,Water,Water,Forest,Non_Water,Non_Wetland,Forest
388,Water,Water,Forest,Water,Non_Wetland,Grassland
389,Water,Water,Forest,Water,Non_Wetland,Wetland
390,Water,Water,Forest,Water,Non_Wetland,Bareland
391,Water,Water,Forest,Water,Non_Wetland,Water
392,Water,Water,Forest,Water,Non_Wetland,Forest
393,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
394,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
395,Water,Forest,Shrubland,NULL,Non_Wetland,Water
396,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
397,Water,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
398,Water,Forest,Shrubland,Non_Water,Non_Wetland,Water
399,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
400,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
401,Water,Forest,Grassland,NULL,Non_Wetland,Forest
402,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
403,Water,Forest,Cropland,NULL,Non_Wetland,Forest
404,Water,Forest,Cropland,Non_Water,Non_Wetland,Water
405,Water,Forest,Wetland,NULL,Wetland,NULL
406,Water,Forest,Wetland,NULL,Wetland,Grassland
407,Water,Forest,Wetland,NULL,Wetland,Wetland
408,Water,Forest,Wetland,NULL,Wetland,Bareland
409,Water,Forest,Wetland,NULL,Wetland,Water
410,Water,Forest,Wetland,NULL,Wetland,Forest
411,Water,Forest,Wetland,Non_Water,Wetland,Grassland
412,Water,Forest,Wetland,Non_Water,Wetland,Wetland
413,Water,Forest,Wetland,Non_Water,Wetland,Water
414,Water,Forest,Wetland,Non_Water,Wetland,Forest
415,Water,Forest,Wetland,Water,Wetland,Wetland
416,Water,Forest,Water,NULL,Water,Forest
417,Water,Forest,Water,Water,Water,Grassland
418,Water,Forest,Water,Water,Water,Wetland
419,Water,Forest,Water,Water,Water,Forest
420,Water,Forest,Forest,NULL,Non_Wetland,NULL
421,Water,Forest,Forest,NULL,Non_Wetland,Grassland
422,Water,Forest,Forest,NULL,Non_Wetland,Wetland
423,Water,Forest,Forest,NULL,Non_Wetland,Bareland
424,Water,Forest,Forest,NULL,Non_Wetland,Water
425,Water,Forest,Forest,NULL,Non_Wetland,Forest
426,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland
427,Water,Forest,Forest,Non_Water,Non_Wetland,Water
428,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
429,Water,Forest,Forest,Water,Non_Wetland,Water
430,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Wetland
431,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Wetland
432,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Water
433,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Wetland
434,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Water
435,Permanent_ice_and_snow,NULL,Wetland,Non_Water,Wetland,Water
436,Permanent_ice_and_snow,NULL,Water,Water,Water,Water
437,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Wetland
438,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,Water
439,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland
440,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water
441,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Forest
442,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Water
443,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water
444,Permanent_ice_and_snow,Water,Water,NULL,Water,Water
445,Permanent_ice_and_snow,Water,Water,Water,Water,Water
446,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water
447,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Forest
448,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,Water
449,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,Forest
450,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Wetland
451,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Water
452,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest
453,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Forest
454,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Grassland
455,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Wetland
