Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
79,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
85,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
86,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
88,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
91,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
92,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
93,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Water
95,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
114,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
135,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
139,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
143,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
148,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
149,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
150,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
151,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
152,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
153,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
154,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
155,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
156,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
157,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
158,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
159,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
160,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
161,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
167,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
168,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
169,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
170,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
171,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
172,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
173,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
174,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
175,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
176,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
177,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
191,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
195,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
196,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
197,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
198,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
199,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
200,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
201,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
203,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
204,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
205,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
211,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
212,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
213,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
214,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
215,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
232,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
248,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
249,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
250,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
252,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
253,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
254,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
256,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
258,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
259,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
260,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
271,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
274,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
275,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
280,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
281,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
282,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
283,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
284,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
285,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
286,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
287,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
288,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
291,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
306,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
312,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
314,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
316,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
317,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
318,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
319,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
320,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
321,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
323,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
324,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
325,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
326,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
327,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
328,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
330,NULL,Water,Water,NULL,Water,NULL,NULL,Water
331,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
332,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
333,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
334,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
335,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
336,NULL,Water,Water,Water,Water,NULL,NULL,Water
337,NULL,Water,Water,Water,Water,NULL,NULL,Forest
338,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
339,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
340,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
341,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
342,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
343,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
344,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
345,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
346,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
