Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R
122,NULL,NULL,Forest,Water,Non_Wetland,NULL
123,NULL,NULL,Forest,Water,Non_Wetland,Grassland
124,NULL,NULL,Forest,Water,Non_Wetland,Bareland
125,NULL,NULL,Forest,Water,Non_Wetland,Water
126,NULL,NULL,Forest,Water,Non_Wetland,Forest
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
142,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
148,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
150,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
151,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
156,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
157,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
163,NULL,Cropland,Water,Non_Water,Water,Grassland
164,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
165,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
169,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
170,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
172,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
178,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
179,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
180,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
181,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
182,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
183,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
184,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
185,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
186,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
191,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
192,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
193,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
194,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
195,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
198,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
199,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
200,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
201,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
202,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
203,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
204,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
205,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
206,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
207,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
208,NULL,Bareland,Wetland,Non_Water,Wetland,Water
209,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
210,NULL,Bareland,Wetland,Water,Wetland,Bareland
211,NULL,Bareland,Wetland,Water,Wetland,Water
212,NULL,Bareland,Wetland,Water,Wetland,Forest
213,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
214,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
216,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
217,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
218,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
219,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
220,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
221,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
222,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
223,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
224,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
225,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
226,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
227,NULL,Bareland,Bareland,Water,Non_Wetland,Water
228,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
229,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
230,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
231,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
232,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
233,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
234,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
235,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
236,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
237,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
238,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
239,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
240,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
241,NULL,Bareland,Built-up,Water,Non_Wetland,Water
242,NULL,Bareland,Water,NULL,Water,Bareland
243,NULL,Bareland,Water,NULL,Water,Built-up
244,NULL,Bareland,Water,NULL,Water,Water
245,NULL,Bareland,Water,Non_Water,Water,Bareland
246,NULL,Bareland,Water,Non_Water,Water,Water
247,NULL,Bareland,Water,Non_Water,Water,Forest
248,NULL,Bareland,Water,Water,Water,Grassland
249,NULL,Bareland,Water,Water,Water,Bareland
250,NULL,Bareland,Water,Water,Water,Water
251,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
252,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
253,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
254,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
255,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
256,NULL,Bareland,Forest,NULL,Non_Wetland,Water
257,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
258,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
259,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
260,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
261,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
262,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
263,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
264,NULL,Bareland,Forest,Water,Non_Wetland,Water
265,NULL,Bareland,Forest,Water,Non_Wetland,Forest
266,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
274,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
275,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
283,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
284,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
287,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
288,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
289,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
290,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
291,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
292,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
293,NULL,Built-up,Wetland,NULL,Wetland,Forest
294,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
295,NULL,Built-up,Wetland,Water,Wetland,Forest
296,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
303,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
304,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
313,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
314,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
315,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
316,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
317,NULL,Built-up,Water,NULL,Water,Water
318,NULL,Built-up,Water,NULL,Water,Forest
319,NULL,Built-up,Water,Non_Water,Water,Forest
320,NULL,Built-up,Water,Water,Water,Water
321,NULL,Built-up,Water,Water,Water,Forest
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
323,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
324,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
325,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
326,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
327,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
328,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
329,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
330,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
331,NULL,Built-up,Forest,Water,Non_Wetland,Forest
332,NULL,Water,NULL,NULL,Non_Wetland,Grassland
333,NULL,Water,NULL,NULL,Non_Wetland,Water
334,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
335,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
336,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
337,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
338,NULL,Water,Shrubland,NULL,Non_Wetland,Water
339,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
340,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
341,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
342,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
343,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
344,NULL,Water,Shrubland,Water,Non_Wetland,NULL
345,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
346,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
347,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
348,NULL,Water,Shrubland,Water,Non_Wetland,Water
349,NULL,Water,Shrubland,Water,Non_Wetland,Forest
350,NULL,Water,Grassland,NULL,Non_Wetland,NULL
351,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
352,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
353,NULL,Water,Grassland,NULL,Non_Wetland,Water
354,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
355,NULL,Water,Grassland,Water,Non_Wetland,Grassland
356,NULL,Water,Grassland,Water,Non_Wetland,Water
357,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
358,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
359,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
360,NULL,Water,Cropland,NULL,Non_Wetland,Water
361,NULL,Water,Cropland,NULL,Non_Wetland,Forest
362,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
363,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
364,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
365,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
366,NULL,Water,Cropland,Water,Non_Wetland,Grassland
367,NULL,Water,Cropland,Water,Non_Wetland,Bareland
368,NULL,Water,Cropland,Water,Non_Wetland,Water
369,NULL,Water,Cropland,Water,Non_Wetland,Forest
370,NULL,Water,Wetland,Non_Water,Wetland,Bareland
371,NULL,Water,Wetland,Non_Water,Wetland,Water
372,NULL,Water,Wetland,Non_Water,Wetland,Forest
373,NULL,Water,Wetland,Water,Wetland,Bareland
374,NULL,Water,Wetland,Water,Wetland,Water
375,NULL,Water,Wetland,Water,Wetland,Forest
376,NULL,Water,Bareland,NULL,Non_Wetland,NULL
377,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
378,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
379,NULL,Water,Bareland,NULL,Non_Wetland,Water
380,NULL,Water,Bareland,NULL,Non_Wetland,Forest
381,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
382,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
383,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
384,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
385,NULL,Water,Bareland,Water,Non_Wetland,Grassland
386,NULL,Water,Bareland,Water,Non_Wetland,Bareland
387,NULL,Water,Bareland,Water,Non_Wetland,Water
388,NULL,Water,Bareland,Water,Non_Wetland,Forest
389,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
390,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
391,NULL,Water,Built-up,NULL,Non_Wetland,Forest
392,NULL,Water,Built-up,Water,Non_Wetland,Grassland
393,NULL,Water,Built-up,Water,Non_Wetland,Water
394,NULL,Water,Water,NULL,Water,Grassland
395,NULL,Water,Water,NULL,Water,Bareland
396,NULL,Water,Water,NULL,Water,Water
397,NULL,Water,Water,NULL,Water,Forest
398,NULL,Water,Water,Non_Water,Water,Grassland
399,NULL,Water,Water,Non_Water,Water,Bareland
400,NULL,Water,Water,Non_Water,Water,Water
401,NULL,Water,Water,Non_Water,Water,Forest
402,NULL,Water,Water,Water,Water,Grassland
403,NULL,Water,Water,Water,Water,Bareland
404,NULL,Water,Water,Water,Water,Water
405,NULL,Water,Water,Water,Water,Forest
406,NULL,Water,Forest,NULL,Non_Wetland,Grassland
407,NULL,Water,Forest,NULL,Non_Wetland,Bareland
408,NULL,Water,Forest,NULL,Non_Wetland,Water
409,NULL,Water,Forest,NULL,Non_Wetland,Forest
410,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
411,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
412,NULL,Water,Forest,Non_Water,Non_Wetland,Water
413,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
414,NULL,Water,Forest,Water,Non_Wetland,Grassland
415,NULL,Water,Forest,Water,Non_Wetland,Bareland
416,NULL,Water,Forest,Water,Non_Wetland,Water
417,NULL,Water,Forest,Water,Non_Wetland,Forest
418,NULL,Forest,NULL,NULL,Non_Wetland,NULL
419,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
420,NULL,Forest,NULL,NULL,Non_Wetland,Forest
421,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
422,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
423,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
424,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
425,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
426,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
427,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
428,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
429,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
430,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
431,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
432,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
433,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
