Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R
2417,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
2418,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2419,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Water
2420,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
2421,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
2422,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
2423,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
2424,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
2425,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2426,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
2427,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,NULL
2428,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2429,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
2430,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
2431,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
2432,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2433,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2434,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
2435,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2436,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2437,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
2438,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
2439,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
2440,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
2441,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
2442,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2443,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
2444,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
2445,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2446,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
2447,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
2448,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
2449,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
2450,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2451,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2452,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Bareland,NULL
2453,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
2454,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,NULL
2455,NULL,Forest,Water,Non_Water,Water,Wetland,Bareland,NULL
2456,NULL,Forest,Water,Non_Water,Water,Bareland,Wetland,Water
2457,NULL,Forest,Water,Water,Water,Wetland,Wetland,Water
2458,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2459,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2460,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2461,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
2462,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
2463,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2464,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2465,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2466,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
2467,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2468,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
2469,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2470,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2471,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2472,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2473,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
2474,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
2475,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2476,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2477,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2478,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2479,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2480,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2481,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2482,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2483,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2484,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2485,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2486,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
2487,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2488,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2489,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2490,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2491,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2492,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2493,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2494,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2495,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2496,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2497,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2498,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2499,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2500,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2501,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
2502,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
2503,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2504,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2505,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
2506,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2507,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2508,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2509,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2510,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2511,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2512,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
2513,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
2514,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2515,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
2516,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2517,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2518,NULL,Forest,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
2519,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2520,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2521,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2522,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2523,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2524,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
2525,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2526,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2527,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,NULL,NULL
2528,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2529,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2530,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
2531,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,NULL
2532,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2533,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2534,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2535,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2536,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2537,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2538,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2539,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2540,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
2541,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2542,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2543,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2544,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2545,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2546,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2547,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2548,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2549,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
2550,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2551,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2552,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2553,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2554,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2555,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2556,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2557,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2558,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2559,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2560,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2561,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2562,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2563,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2564,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2565,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2566,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2567,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2568,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2569,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2570,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2571,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2572,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2573,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2574,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2575,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2576,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2577,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2578,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2579,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2580,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2581,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
2582,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2583,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2584,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2585,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2586,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
2587,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2588,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2589,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
2590,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2591,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2592,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
2593,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
2594,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
2595,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
2596,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
2597,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2598,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
2599,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
2600,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2601,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
2602,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
2603,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
2604,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
2605,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2606,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2607,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2608,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2609,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2610,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
2611,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
2612,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
2613,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2614,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2615,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2616,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2617,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2618,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2619,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2620,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
2621,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2622,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2623,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
2624,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
2625,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
2626,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2627,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
2628,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2629,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
2630,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2631,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
2632,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2633,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
2634,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2635,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2636,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2637,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2638,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
2639,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2640,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2641,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2642,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2643,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2644,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
2645,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2646,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
2647,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2648,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
2649,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2650,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2651,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2652,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
2653,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2654,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2655,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2656,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2657,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
2658,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2659,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2660,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2661,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2662,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2663,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
2664,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
2665,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2666,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
2667,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2668,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
2669,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2670,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
2671,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2672,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2673,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2674,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2675,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2676,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2677,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2678,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2679,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2680,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2681,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2682,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2683,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2684,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2685,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2686,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2687,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2688,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2689,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2690,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2691,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2692,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2693,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2694,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2695,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2696,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2697,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2698,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2699,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2700,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
2701,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2702,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
2703,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2704,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2705,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
2706,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2707,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2708,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2709,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2710,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2711,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2712,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2713,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
2714,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2715,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2716,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2717,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2718,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2719,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2720,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2721,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2722,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
2723,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2724,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
2725,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
2726,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
2727,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
2728,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2729,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
2730,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2731,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
2732,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
2733,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2734,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
2735,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2736,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
2737,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
2738,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
2739,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
