Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R
49,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
80,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
85,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
86,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
87,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
108,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
119,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
141,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
144,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
147,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
175,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
176,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
180,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
194,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
206,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Wetland
221,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
222,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
223,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Water
226,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
228,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Forest,Grassland
231,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
232,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
235,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
236,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
237,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
238,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Water
239,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
243,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
252,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
258,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
262,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
273,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
275,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
276,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
278,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
279,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
283,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
284,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
285,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
286,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
287,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
288,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
289,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
290,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
291,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
292,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
293,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
294,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Forest
295,NULL,NULL,Water,Water,Water,Grassland,Grassland,Water
296,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
297,NULL,NULL,Water,Water,Water,Water,Grassland,Water
298,NULL,NULL,Water,Water,Water,Water,Wetland,Water
299,NULL,NULL,Water,Water,Water,Water,Water,Grassland
300,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
322,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
328,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
329,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
