Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
92,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
94,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
95,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
96,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
97,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
98,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
99,NULL,NULL,Water,Water,Water,NULL,NULL,Water
100,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
128,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
135,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
139,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
144,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
145,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
148,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
152,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
159,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
167,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
169,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
173,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
181,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
185,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
188,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
189,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
190,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
191,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
192,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
194,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
195,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
196,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
197,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
198,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
199,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
200,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
201,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
207,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
208,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
209,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
210,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
211,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
212,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
213,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
214,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
215,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
216,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
217,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
218,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
225,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
226,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
230,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
252,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
253,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
263,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
264,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
265,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
266,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
276,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
280,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
283,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
285,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
286,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
288,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
289,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
292,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
295,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
298,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
299,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
300,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
301,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
303,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
304,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
305,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
306,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
307,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
308,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
309,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
313,NULL,Water,Water,NULL,Water,NULL,NULL,Cropland
314,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
315,NULL,Water,Water,NULL,Water,NULL,NULL,Water
316,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
317,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
318,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
319,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
320,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
321,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
322,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
323,NULL,Water,Water,Water,Water,NULL,NULL,Water
324,NULL,Water,Water,Water,Water,NULL,NULL,Forest
325,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
329,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
334,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
338,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
339,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
341,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
342,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
343,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
344,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
345,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
