Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R
34,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
35,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
36,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
37,NULL,NULL,Water,Water,Water,NULL,NULL,Water
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
47,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
54,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
63,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
64,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
69,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
70,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
71,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
72,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
82,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
85,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
86,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
87,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
91,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
92,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
97,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
98,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
99,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
100,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
101,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
102,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
103,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
114,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
115,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
119,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
121,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
123,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
125,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
126,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
127,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
128,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
129,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
130,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
132,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
134,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
135,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
137,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
138,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
140,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
141,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
143,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
144,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
145,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
146,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
147,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
148,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
150,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
151,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
152,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
154,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
155,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
156,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
157,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
158,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
159,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
160,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
161,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
162,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
167,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
169,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
170,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
176,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
177,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
181,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
183,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
184,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
191,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
193,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
194,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
195,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
196,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
197,Grassland,Water,Water,Water,Water,NULL,NULL,Water
198,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
199,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
202,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
208,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
209,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
210,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
211,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
213,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
214,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
215,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
216,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
217,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
218,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
219,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
220,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
221,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
222,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
223,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
225,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
226,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
227,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
230,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
232,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
233,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
236,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
237,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
238,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
239,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
240,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
241,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
242,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
244,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
247,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
250,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
251,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
252,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
253,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
259,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
260,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
261,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
262,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
263,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
264,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
265,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
266,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
267,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
268,Wetland,Water,Water,Water,Water,NULL,NULL,Water
269,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
270,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
272,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
273,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
274,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
275,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
276,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
277,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
279,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
281,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
282,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
283,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
285,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
287,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
288,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
289,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
290,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
291,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
292,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
293,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
294,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
295,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
296,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
297,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
298,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
299,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
300,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
301,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
302,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
303,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
304,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
305,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
306,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
307,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
308,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
309,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
310,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
312,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
313,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
314,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
315,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
316,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
317,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
318,Bareland,Water,Water,Water,Water,NULL,NULL,Water
319,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
320,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
322,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
324,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
325,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
327,Bareland,Forest,Water,NULL,Water,NULL,NULL,Water
328,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
330,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
333,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
334,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
335,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
336,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
337,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
338,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
339,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
340,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
341,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
342,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
343,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
344,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
345,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
346,Water,NULL,Water,NULL,Water,NULL,NULL,Water
347,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
348,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
349,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
350,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
