Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
91,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
92,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
93,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Water
96,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
131,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
133,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
134,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
135,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
136,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
137,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
148,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
151,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
152,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
153,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
155,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Water
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
173,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
175,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
177,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
179,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
183,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Water
184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
187,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
188,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
190,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
191,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
193,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
195,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
196,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
197,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
203,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Built-up
211,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
212,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
213,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
214,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
215,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
216,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
218,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
222,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
223,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
224,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
225,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
226,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
227,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Wetland
229,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
230,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
235,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
238,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
240,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
242,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
244,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
247,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
248,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
249,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
252,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
253,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
254,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
255,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
256,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
257,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
258,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
259,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
260,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
261,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
262,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
263,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
264,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
265,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
266,NULL,Water,Water,Water,Water,NULL,NULL,Built-up
267,NULL,Water,Water,Water,Water,NULL,NULL,Water
268,NULL,Water,Water,Water,Water,NULL,NULL,Forest
269,NULL,Water,Water,Water,Water,Wetland,Wetland,Water
270,NULL,Water,Water,Water,Water,Wetland,Water,Bareland
271,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
273,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
278,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
283,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
284,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
285,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
286,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
289,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
291,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
292,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
296,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
297,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
298,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
300,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
301,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
302,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
303,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
305,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
306,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
307,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
308,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
309,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
310,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
311,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
313,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
315,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
316,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
317,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
319,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
321,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
322,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
323,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
324,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
325,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
326,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
327,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
328,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
329,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
330,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
331,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
332,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
335,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
336,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
338,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
339,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
340,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
