Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUF_M_R
2893,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
2894,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2895,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2896,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2897,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
2898,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2899,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2900,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2901,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2902,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2903,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2904,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2905,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
2906,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2907,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2908,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2909,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2910,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
2911,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2912,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2913,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2914,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2915,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2916,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2917,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2918,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
2919,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2920,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
2921,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2922,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2923,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2924,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
2925,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2926,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2927,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
2928,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2929,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2930,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2931,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
2932,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2933,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2934,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2935,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
2936,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2937,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2938,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2939,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
2940,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2941,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2942,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2943,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2944,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2945,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
2946,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2947,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2948,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2949,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
2950,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2951,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2952,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2953,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2954,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2955,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2956,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2957,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
2958,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
2959,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2960,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
2961,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2962,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2963,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2964,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2965,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2966,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2967,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2968,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2969,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2970,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2971,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2972,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2973,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2974,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2975,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2976,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2977,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2978,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2979,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2980,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2981,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2982,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2983,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2984,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2985,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2986,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2987,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2988,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2989,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2990,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
2991,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2992,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2993,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2994,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
2995,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2996,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
2997,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2998,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2999,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3000,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
3001,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3002,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3003,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
3004,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
3005,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3006,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3007,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3008,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
3009,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
3010,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3011,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
3012,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3013,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3014,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
3015,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3016,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
3017,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3018,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3019,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
3020,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3021,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3022,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3023,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3024,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
3025,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3026,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3027,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
3028,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3029,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3030,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3031,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3032,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3033,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3034,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3035,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3036,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3037,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3038,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3039,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3040,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3041,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3042,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3043,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3044,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3045,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3046,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3047,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3048,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3049,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3050,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3051,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3052,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3053,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3054,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3055,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3056,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3057,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3058,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3059,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3060,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3061,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3062,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3063,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3064,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3065,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3066,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3067,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
3068,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3069,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3070,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3071,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3072,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3073,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3074,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3075,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
3076,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3077,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3078,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3079,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3080,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3081,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3082,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3083,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3084,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3085,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3086,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3087,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3088,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3089,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3090,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3091,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3092,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3093,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3094,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3095,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3096,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3097,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3098,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3099,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3100,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
3101,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3102,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
3103,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3104,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3105,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
3106,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
3107,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3108,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3109,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3110,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
3111,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
3112,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
3113,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3114,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
3115,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
3116,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3117,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3118,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3119,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3120,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3121,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3122,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3123,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3124,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3125,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3126,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3127,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3128,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3129,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3130,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3131,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3132,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3133,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3134,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3135,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3136,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3137,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3138,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3139,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3140,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
3141,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3142,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3143,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
3144,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
3145,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
3146,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3147,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3148,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3149,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3150,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
3151,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3152,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3153,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3154,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
3155,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3156,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
3157,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
3158,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3159,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3160,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3161,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3162,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3163,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
3164,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3165,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
3166,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3167,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3168,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3169,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3170,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3171,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3172,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3173,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
3174,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
3175,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3176,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3177,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
3178,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3179,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3180,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3181,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3182,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3183,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3184,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3185,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3186,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3187,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3188,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
3189,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3190,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3191,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3192,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3193,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3194,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3195,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3196,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3197,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
3198,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
3199,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3200,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3201,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3202,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
3203,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
