Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R
1075,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1076,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1077,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1078,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1079,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1080,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1081,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1082,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1083,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1084,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1085,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1086,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1087,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1088,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1089,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1090,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1091,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1092,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1093,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1094,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1095,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1096,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1097,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1098,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1099,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1100,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1101,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1102,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1103,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1104,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1105,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1106,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1107,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1108,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1109,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1110,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
1111,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1112,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1113,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1114,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1115,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1116,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1117,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1118,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1119,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1120,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1121,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1122,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1123,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1124,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
1125,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1126,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1127,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
1128,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1129,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1130,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1131,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
1132,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1133,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1134,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1135,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1136,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1137,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1138,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1139,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1140,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1141,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1142,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1143,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1144,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1145,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1146,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1147,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1148,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
1149,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
1150,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
1151,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1152,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1153,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1156,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1177,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1178,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1179,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
1182,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1183,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1184,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1185,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1186,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1187,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1188,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1192,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1193,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1195,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1197,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
1198,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
1199,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
1200,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1201,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1202,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1203,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1204,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1205,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1206,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1207,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1208,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1209,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1210,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1211,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1212,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
1214,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1215,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1216,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1217,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1218,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1219,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1220,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
1221,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
1222,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1223,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1224,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1225,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
1226,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1227,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1228,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
1229,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1230,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1231,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1232,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1233,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1234,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
1235,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1236,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1237,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
1238,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1239,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1240,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1241,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1242,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1243,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1244,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
1245,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1246,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1247,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1248,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1249,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1250,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Forest
1251,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1252,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
1253,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1254,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
1255,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
1256,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1257,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1258,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1259,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1260,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1261,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1263,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Water
1264,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
1265,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
1266,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
1267,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
1268,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1269,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1270,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1271,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1272,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1273,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1274,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1275,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1276,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1277,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1278,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1279,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1280,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
1281,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1282,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1283,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1284,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1285,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1286,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1287,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1288,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1289,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
1290,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1291,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1292,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1293,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1294,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1295,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1296,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1297,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
1298,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1299,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1300,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1301,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1302,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1303,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1304,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1305,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1306,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1307,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1308,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1309,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1310,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1311,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
1312,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1313,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1314,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1315,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1316,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1317,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1318,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1319,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1320,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
1321,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Water,Forest
1322,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Forest
1323,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1324,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1325,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1326,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
1327,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1328,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1329,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
1330,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1331,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1332,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1333,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
1334,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1335,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1336,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1337,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1338,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1339,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
1340,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1341,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1342,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1343,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
1344,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1345,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1346,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1347,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1348,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1349,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1350,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
1351,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
1352,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1353,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
1354,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
1355,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
1356,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
1357,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
1358,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
1359,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1360,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
1361,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1362,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
1363,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
1364,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1365,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1366,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
1367,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1368,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1369,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
1370,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1371,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
1372,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1373,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1374,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1375,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
1376,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1377,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1378,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1379,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
1380,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1381,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1382,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1383,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1384,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1385,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Wetland
1386,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1387,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1388,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
1389,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
1390,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1391,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1392,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1393,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
