Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R
4485,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
4486,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4487,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4488,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
4489,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
4490,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Water
4491,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Forest,Bareland
4492,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
4493,NULL,Water,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
4494,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4495,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4496,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4497,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4498,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4499,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Water
4500,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4501,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4502,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4503,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4504,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
4505,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
4506,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4507,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4508,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4509,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Cropland
4510,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Water
4511,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4512,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4513,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
4514,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
4515,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4516,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
4517,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
4518,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
4519,NULL,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
4520,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Cropland
4521,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
4522,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
4523,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
4524,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
4525,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
4526,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
4527,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Cropland
4528,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
4529,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
4530,NULL,Water,Wetland,Non_Water,Wetland,Cropland,Water,Water
4531,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
4532,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
4533,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
4534,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
4535,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
4536,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
4537,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
4538,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
4539,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
4540,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
4541,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
4542,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
4543,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
4544,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
4545,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Forest
4546,NULL,Water,Bareland,Water,Non_Wetland,Bareland,NULL,Water
4547,NULL,Water,Bareland,Water,Non_Wetland,Built-up,Built-up,Water
4548,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
4549,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
4550,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
4551,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4552,NULL,Water,Water,NULL,Water,Shrubland,Water,Forest
4553,NULL,Water,Water,NULL,Water,Grassland,Water,Water
4554,NULL,Water,Water,NULL,Water,Wetland,Water,Wetland
4555,NULL,Water,Water,NULL,Water,Bareland,Water,Water
4556,NULL,Water,Water,NULL,Water,Bareland,Forest,Forest
4557,NULL,Water,Water,Non_Water,Water,Wetland,Water,Forest
4558,NULL,Water,Water,Water,Water,Wetland,Water,Wetland
4559,NULL,Water,Water,Water,Water,Bareland,Water,Water
4560,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4561,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Cropland
4562,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
4563,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4564,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
4565,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
4566,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
4567,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
4568,NULL,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,Forest
4569,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
4570,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
4571,NULL,Water,Forest,Water,Non_Wetland,Shrubland,Water,Water
4572,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
4573,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4574,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4575,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4576,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4577,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4578,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4579,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4580,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4581,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4582,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
4583,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4584,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4585,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
4586,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4587,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
4588,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4589,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
4590,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4591,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4592,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4593,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4594,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4595,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4596,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4597,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4598,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
4599,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
4600,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
4601,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
4602,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4603,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4604,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4605,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4606,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4607,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4608,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4609,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4610,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4611,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4612,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4613,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4614,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4615,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4616,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
4617,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4618,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4619,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4620,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
4621,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
4622,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4623,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
4624,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
4625,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
4626,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
4627,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
4628,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
4629,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
4630,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4631,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4632,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
4633,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4634,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
4635,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4636,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
4637,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4638,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
4639,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
4640,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
4641,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
4642,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
4643,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
4644,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
4645,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4646,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
4647,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4648,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
4649,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
4650,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
4651,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4652,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
4653,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4654,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
4655,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4656,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4657,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
4658,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
4659,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4660,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4661,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4662,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4663,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4664,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
4665,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
4666,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4667,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4668,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4669,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4670,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4671,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4672,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4673,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4674,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4675,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4676,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4677,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4678,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4679,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4680,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
4681,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4682,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
4683,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
4684,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4685,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4686,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
4687,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
4688,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4689,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
4690,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4691,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4692,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4693,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4694,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4695,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4696,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4697,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4698,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4699,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4700,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4701,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4702,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4703,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
4704,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4705,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
4706,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
4707,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4708,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
4709,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4710,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4711,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4712,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4713,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4714,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4715,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4716,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4717,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4718,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4719,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4720,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4721,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4722,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4723,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4724,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4725,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4726,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4727,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
4728,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4729,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
4730,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4731,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
4732,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
4733,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4734,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4735,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4736,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
4737,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4738,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4739,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4740,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4741,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4742,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4743,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4744,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4745,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
4746,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
4747,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
4748,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4749,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
4750,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4751,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4752,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4753,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
4754,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4755,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4756,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
4757,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
4758,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
4759,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4760,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
4761,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
4762,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4763,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4764,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
4765,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4766,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
4767,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
4768,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4769,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4770,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
4771,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4772,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4773,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
4774,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
4775,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4776,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4777,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4778,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4779,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4780,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4781,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4782,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
4783,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
4784,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
4785,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Cropland
4786,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4787,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4788,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
4789,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4790,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4791,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4792,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4793,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4794,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
4795,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4796,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4797,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
4798,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
4799,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4800,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4801,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4802,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4803,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4804,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4805,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4806,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
4807,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4808,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4809,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4810,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4811,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4812,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4813,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
4814,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
4815,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
