Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEE_M_R
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
91,NULL,NULL,Water,NULL,Water,Bareland,Wetland,NULL
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
108,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
109,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
110,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
111,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
112,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
113,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
114,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
115,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,NULL
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,NULL
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
145,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
148,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,NULL
149,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,NULL
150,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
151,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,NULL
152,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,NULL
153,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,NULL
154,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
155,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,NULL
156,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
157,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
158,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,NULL
159,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,NULL
160,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,NULL
161,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,NULL
162,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,NULL
163,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,NULL
164,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,NULL
165,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Forest,NULL
166,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Shrubland,NULL
167,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,NULL
168,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,NULL
169,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,NULL
170,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,NULL
171,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,NULL
172,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Forest,NULL
173,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,NULL
174,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,NULL
175,NULL,Built-up,Wetland,NULL,Wetland,Forest,Built-up,NULL
176,NULL,Built-up,Wetland,NULL,Wetland,Forest,Forest,NULL
177,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
178,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,NULL
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,NULL
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,NULL
196,NULL,Built-up,Water,NULL,Water,Wetland,Water,NULL
197,NULL,Built-up,Water,NULL,Water,Bareland,Water,NULL
198,NULL,Built-up,Water,NULL,Water,Built-up,Water,NULL
199,NULL,Built-up,Water,NULL,Water,Water,Water,NULL
200,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
201,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
202,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,NULL
203,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
204,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
205,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
206,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,NULL
207,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
208,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
209,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
210,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
211,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
212,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
213,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
214,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
215,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
216,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
217,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
218,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
219,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
220,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
221,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
222,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
223,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
224,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
225,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
226,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
227,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
228,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
229,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
230,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,NULL
231,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
232,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
233,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,NULL
234,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
235,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,NULL
236,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
237,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,NULL
238,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
239,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
240,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,NULL
241,NULL,Water,Wetland,NULL,Wetland,Built-up,Water,NULL
242,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
243,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
244,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
245,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
246,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
247,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
248,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
249,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
250,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
251,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
252,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
253,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
254,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
255,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
256,NULL,Water,Water,NULL,Water,Bareland,Wetland,NULL
257,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
258,NULL,Water,Water,NULL,Water,Built-up,Water,NULL
259,NULL,Water,Water,NULL,Water,Water,Water,NULL
260,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
261,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,NULL
262,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
263,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
264,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
265,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
266,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
267,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
268,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
269,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
270,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
274,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
275,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
276,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
277,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
278,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
279,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
280,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
281,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
282,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
283,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
284,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
285,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
286,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
287,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
288,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland,NULL
289,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
290,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,NULL
291,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,NULL
292,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
293,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,NULL
294,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,NULL
295,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
296,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
297,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,NULL
298,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
299,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
300,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,NULL
301,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,NULL
302,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,NULL
303,NULL,Forest,Wetland,NULL,Wetland,Water,Water,NULL
304,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,NULL
305,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
306,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
307,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
308,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
309,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
310,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
311,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
312,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
313,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
314,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
315,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
316,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
317,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
318,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
319,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
320,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
321,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
322,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
323,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
324,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
325,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
326,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
327,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
336,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
337,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
338,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
