Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R
68,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
156,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
158,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
169,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
199,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
234,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Cropland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
247,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
248,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
249,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Water
252,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
254,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
259,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
261,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
262,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
265,NULL,NULL,Wetland,NULL,Wetland,Cropland,NULL,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
268,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Water
269,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
278,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
279,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
286,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
288,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
290,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
292,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
294,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
295,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
296,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
298,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
300,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
301,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
302,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Cropland
303,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Water
305,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Cropland
308,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
310,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
311,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
312,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
313,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Cropland
314,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
315,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
316,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,NULL,Grassland
317,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
318,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Cropland
319,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Water,Grassland
320,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Water,Water
321,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
323,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
324,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
327,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
328,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
