Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Bareland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
99,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
125,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
134,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
136,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
137,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
138,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
140,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
142,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
143,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
144,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
170,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
174,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
176,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
177,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
179,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
191,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
195,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
201,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
204,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
213,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
215,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
230,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Water,Grassland
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Cropland
236,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest,Bareland
237,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
239,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
244,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
245,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
246,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
247,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
248,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
249,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
250,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
251,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
252,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Bareland
254,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Water
255,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
256,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,NULL,Grassland
257,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Water,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
259,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
260,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
261,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
262,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Bareland
263,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Water
264,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
265,NULL,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
267,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
268,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
269,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
270,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
271,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
272,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,NULL,Bareland,Water,Non_Wetland,Water,NULL,Water
274,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
281,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
282,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
283,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
285,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
286,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
287,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
289,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
290,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
291,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
315,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
316,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
319,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
321,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Forest
322,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
323,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Bareland
324,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
325,NULL,NULL,Water,NULL,Water,Water,NULL,Grassland
326,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
327,NULL,NULL,Water,Non_Water,Water,NULL,Water,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
