Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
245,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
249,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Wetland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
268,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
269,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
275,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Forest
280,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
287,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
290,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
291,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
302,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
312,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
325,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
