Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R
33,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
59,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
64,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
67,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
68,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
69,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
70,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
75,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
76,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
80,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
84,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
85,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
88,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
89,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
90,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
91,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
92,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Forest
93,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
96,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
97,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
98,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Forest,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
101,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Water
105,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
110,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
111,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
112,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
113,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
114,NULL,NULL,Water,NULL,Water,Grassland,Water,Bareland
115,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
116,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Bareland
117,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
118,NULL,NULL,Water,NULL,Water,Forest,Water,Forest
119,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
120,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
121,NULL,NULL,Water,Water,Water,Wetland,NULL,Grassland
122,NULL,NULL,Water,Water,Water,Wetland,NULL,Wetland
123,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
124,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
125,NULL,NULL,Water,Water,Water,Wetland,Water,Water
126,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
127,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
128,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
129,NULL,NULL,Water,Water,Water,Water,Water,Grassland
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
161,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
170,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
173,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
175,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
179,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Water
180,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Water,Water
181,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
182,NULL,Wetland,Water,NULL,Water,Water,Water,Water
183,NULL,Wetland,Water,Water,Water,Bareland,Water,Water
184,NULL,Wetland,Water,Water,Water,Water,Water,Water
185,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
186,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Water
187,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
188,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
189,NULL,Bareland,Water,Water,Water,Water,Water,Water
190,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
192,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
193,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
222,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
223,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
225,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Bareland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Water
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
246,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
247,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
248,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Forest
249,NULL,Built-up,Wetland,NULL,Wetland,Forest,Water,Forest
250,NULL,Built-up,Wetland,NULL,Wetland,Forest,Forest,Forest
251,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Forest
252,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
257,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
258,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Water
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
268,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Water
269,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
271,NULL,Built-up,Water,Non_Water,Water,Water,Water,Forest
272,NULL,Built-up,Water,Water,Water,Water,Water,Forest
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
275,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
276,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
277,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
279,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
281,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
282,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
283,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Built-up
284,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
285,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
286,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
287,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
288,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
290,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
295,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
296,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
297,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
298,NULL,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
299,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
300,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
301,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
302,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
303,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
304,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
305,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
306,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
307,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
308,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Forest
309,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
310,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
311,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
312,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
313,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
314,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
315,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
316,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
317,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
318,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
319,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
320,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
321,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
322,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
323,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
324,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
325,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
326,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
327,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
328,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
329,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
330,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Water
331,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
332,NULL,Water,Water,NULL,Water,Wetland,Water,Water
333,NULL,Water,Water,NULL,Water,Bareland,Water,Water
334,NULL,Water,Water,NULL,Water,Water,Water,Water
335,NULL,Water,Water,Non_Water,Water,Water,Water,Water
336,NULL,Water,Water,Water,Water,Wetland,Water,Water
337,NULL,Water,Water,Water,Water,Water,Water,Water
338,NULL,Water,Water,Water,Water,Water,Water,Forest
339,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
340,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
