Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPQ_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
119,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
121,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
122,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
124,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
213,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
219,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
220,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
224,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
251,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
254,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Wetland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
296,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
299,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
315,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
320,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Wetland
322,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Grassland
324,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
