Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Water
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Bareland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
187,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
190,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
192,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
200,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
201,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
202,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
203,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
205,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
206,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
207,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Cropland
209,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
210,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
215,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
217,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Grassland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Built-up
219,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
