Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
130,NULL,Cropland,Water,NULL,Water,Grassland
131,NULL,Cropland,Water,NULL,Water,Forest
132,NULL,Cropland,Water,Water,Water,Forest
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
134,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
138,NULL,Cropland,Forest,Water,Non_Wetland,Forest
139,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
143,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
144,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
145,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
146,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
147,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
148,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
151,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
152,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
153,NULL,Wetland,Grassland,Water,Non_Wetland,Cropland
154,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
155,NULL,Wetland,Wetland,Water,Wetland,Water
156,NULL,Wetland,Water,NULL,Water,Water
157,NULL,Wetland,Water,Water,Water,Bareland
158,NULL,Wetland,Water,Water,Water,Water
159,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
160,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
161,NULL,Wetland,Forest,NULL,Non_Wetland,Water
162,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
164,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
165,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
166,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
167,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
168,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
169,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
172,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
177,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
179,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
180,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Wetland,Water,Wetland,Forest
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
188,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
189,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
190,NULL,Bareland,Water,NULL,Water,Grassland
191,NULL,Bareland,Water,NULL,Water,Bareland
192,NULL,Bareland,Water,Non_Water,Water,Grassland
193,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
194,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
195,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
196,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
197,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
198,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
199,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
200,NULL,Bareland,Forest,Water,Non_Wetland,Forest
201,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
202,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
203,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
204,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
205,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
206,NULL,Built-up,NULL,Water,Non_Wetland,Forest
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
215,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
216,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
223,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
224,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
225,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
226,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Wetland,NULL,Wetland,Built-up
232,NULL,Built-up,Wetland,NULL,Wetland,Forest
233,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
234,NULL,Built-up,Wetland,Water,Wetland,Forest
235,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
236,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
237,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
238,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
239,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
240,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
247,NULL,Built-up,Water,NULL,Water,Grassland
248,NULL,Built-up,Water,NULL,Water,Cropland
249,NULL,Built-up,Water,NULL,Water,Bareland
250,NULL,Built-up,Water,NULL,Water,Built-up
251,NULL,Built-up,Water,NULL,Water,Water
252,NULL,Built-up,Water,NULL,Water,Forest
253,NULL,Built-up,Water,Non_Water,Water,Forest
254,NULL,Built-up,Water,Water,Water,Bareland
255,NULL,Built-up,Water,Water,Water,Forest
256,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
257,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
259,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
260,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
261,NULL,Built-up,Forest,NULL,Non_Wetland,Water
262,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
263,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
264,NULL,Built-up,Forest,Water,Non_Wetland,Forest
265,NULL,Water,NULL,NULL,Non_Wetland,Grassland
266,NULL,Water,NULL,NULL,Non_Wetland,Bareland
267,NULL,Water,NULL,NULL,Non_Wetland,Water
268,NULL,Water,NULL,NULL,Non_Wetland,Forest
269,NULL,Water,NULL,Water,Non_Wetland,Grassland
270,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
271,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
272,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
273,NULL,Water,Shrubland,NULL,Non_Wetland,Water
274,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
275,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
277,NULL,Water,Shrubland,Water,Non_Wetland,NULL
278,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
279,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
280,NULL,Water,Shrubland,Water,Non_Wetland,Water
281,NULL,Water,Shrubland,Water,Non_Wetland,Forest
282,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
283,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
284,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
285,NULL,Water,Grassland,NULL,Non_Wetland,Water
286,NULL,Water,Grassland,NULL,Non_Wetland,Forest
287,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
288,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
289,NULL,Water,Grassland,Water,Non_Wetland,Grassland
290,NULL,Water,Grassland,Water,Non_Wetland,Forest
291,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
292,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
293,NULL,Water,Cropland,NULL,Non_Wetland,Water
294,NULL,Water,Cropland,NULL,Non_Wetland,Forest
295,NULL,Water,Cropland,Water,Non_Wetland,Water
296,NULL,Water,Wetland,NULL,Wetland,Grassland
297,NULL,Water,Wetland,NULL,Wetland,Forest
298,NULL,Water,Wetland,Non_Water,Wetland,Forest
299,NULL,Water,Wetland,Water,Wetland,Forest
300,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
301,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
302,NULL,Water,Bareland,NULL,Non_Wetland,Forest
303,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
304,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
305,NULL,Water,Bareland,Water,Non_Wetland,Grassland
306,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
307,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
308,NULL,Water,Built-up,NULL,Non_Wetland,Forest
309,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
310,NULL,Water,Water,NULL,Water,Grassland
311,NULL,Water,Water,NULL,Water,Bareland
312,NULL,Water,Water,NULL,Water,Built-up
313,NULL,Water,Water,NULL,Water,Water
314,NULL,Water,Water,NULL,Water,Forest
315,NULL,Water,Water,Non_Water,Water,Grassland
316,NULL,Water,Water,Non_Water,Water,Water
317,NULL,Water,Water,Water,Water,Grassland
318,NULL,Water,Water,Water,Water,Bareland
319,NULL,Water,Water,Water,Water,Water
320,NULL,Water,Water,Water,Water,Forest
321,NULL,Water,Forest,NULL,Non_Wetland,Grassland
322,NULL,Water,Forest,NULL,Non_Wetland,Bareland
323,NULL,Water,Forest,NULL,Non_Wetland,Water
324,NULL,Water,Forest,NULL,Non_Wetland,Forest
325,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
326,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
327,NULL,Water,Forest,Water,Non_Wetland,Grassland
328,NULL,Water,Forest,Water,Non_Wetland,Bareland
329,NULL,Water,Forest,Water,Non_Wetland,Water
330,NULL,Water,Forest,Water,Non_Wetland,Forest
331,NULL,Forest,NULL,NULL,Non_Wetland,NULL
332,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
333,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
334,NULL,Forest,NULL,NULL,Non_Wetland,Forest
335,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
336,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
337,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
338,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
339,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
340,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
341,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
342,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
343,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
344,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
345,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
346,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
347,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
348,NULL,Forest,Grassland,Water,Non_Wetland,Forest
349,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
350,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
351,NULL,Forest,Wetland,NULL,Wetland,Forest
352,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
353,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
354,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
355,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
356,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
357,NULL,Forest,Water,NULL,Water,Grassland
358,NULL,Forest,Water,NULL,Water,Forest
359,NULL,Forest,Water,Water,Water,Grassland
360,NULL,Forest,Water,Water,Water,Forest
361,NULL,Forest,Forest,NULL,Non_Wetland,NULL
362,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
363,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
364,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
365,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
366,NULL,Forest,Forest,NULL,Non_Wetland,Forest
367,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
368,NULL,Forest,Forest,Water,Non_Wetland,Grassland
369,NULL,Forest,Forest,Water,Non_Wetland,Forest
370,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
371,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
372,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
373,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
374,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
375,Grassland,NULL,NULL,Water,Non_Wetland,Forest
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
379,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
381,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
384,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
385,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
386,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
387,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
388,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
389,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
390,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
391,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
392,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
393,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
394,Grassland,NULL,Grassland,Water,Non_Wetland,Forest
395,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
396,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
397,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
398,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
399,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
400,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
401,Grassland,NULL,Wetland,NULL,Wetland,Grassland
402,Grassland,NULL,Wetland,NULL,Wetland,Forest
403,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
404,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
405,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
406,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
407,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
408,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
409,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
410,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
411,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
412,Grassland,NULL,Built-up,NULL,Non_Wetland,Water
413,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
414,Grassland,NULL,Water,NULL,Water,Grassland
415,Grassland,NULL,Water,NULL,Water,Bareland
416,Grassland,NULL,Water,NULL,Water,Forest
417,Grassland,NULL,Water,Non_Water,Water,Grassland
418,Grassland,NULL,Water,Non_Water,Water,Forest
419,Grassland,NULL,Water,Water,Water,Grassland
420,Grassland,NULL,Water,Water,Water,Forest
421,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
422,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
424,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
425,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
426,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
427,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
428,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
429,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
430,Grassland,NULL,Forest,Water,Non_Wetland,Forest
431,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
432,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
433,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
434,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
435,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
436,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
