Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
31,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
32,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
33,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
34,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
58,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
63,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
65,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
84,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
87,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
90,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
91,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
103,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
104,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
108,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
109,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
116,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
117,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
134,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
135,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
136,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
141,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
142,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
144,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
147,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
148,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
149,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
154,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
156,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
157,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
162,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
171,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
174,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
175,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
177,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
178,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
180,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
181,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
182,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
185,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
186,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
187,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
189,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
190,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
191,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
192,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
193,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
194,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
195,NULL,NULL,Water,Water,Water,Bareland,Bareland,Forest
196,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
198,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
208,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
213,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
219,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
220,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
225,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
227,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
228,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
229,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
232,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
233,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
237,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
238,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
240,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
242,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
243,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
244,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
245,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
247,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
248,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
253,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
257,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
259,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
260,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
261,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
262,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
263,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
264,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
265,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
266,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
267,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
268,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
269,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Forest
270,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Grassland
271,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Water
272,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
274,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
275,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
276,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
277,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
278,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
279,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
280,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
281,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
284,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
285,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
288,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
290,NULL,Wetland,Water,Non_Water,Water,Bareland,Bareland,Grassland
291,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
292,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Bareland
293,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Water
294,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Forest
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
296,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
297,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
299,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
300,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
301,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
302,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
303,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
307,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
308,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
309,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
311,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
312,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
313,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
316,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
317,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
318,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
321,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
322,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
323,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
324,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
325,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
