Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R
56,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
57,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
58,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
60,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Water
70,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
73,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
76,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
77,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
78,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
81,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
82,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
83,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
84,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
85,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
86,NULL,NULL,Water,Water,Water,Wetland,Water,Water
87,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
88,NULL,NULL,Water,Water,Water,Water,Wetland,Water
89,NULL,NULL,Water,Water,Water,Water,Water,Water
90,NULL,NULL,Water,Water,Water,Water,Water,Forest
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
102,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
111,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
112,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
116,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
117,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
118,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
119,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
120,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
121,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
122,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
123,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
124,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
125,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
126,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
127,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Water
131,NULL,Wetland,Water,NULL,Water,Wetland,Water,Forest
132,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
133,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
134,NULL,Wetland,Water,Water,Water,Wetland,Water,Forest
135,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
136,NULL,Wetland,Water,Water,Water,Water,Water,Water
137,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
138,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
140,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
147,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
149,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
151,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
153,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
154,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
155,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
156,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
157,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
158,NULL,Water,Wetland,NULL,Wetland,Built-up,Water,Grassland
159,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
160,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
161,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
162,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
163,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
164,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
165,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
166,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
167,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Wetland
168,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
169,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
170,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
171,NULL,Water,Water,NULL,Water,Wetland,Wetland,Wetland
172,NULL,Water,Water,NULL,Water,Wetland,Water,Water
173,NULL,Water,Water,NULL,Water,Built-up,Water,Grassland
174,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
175,NULL,Water,Water,NULL,Water,Water,Wetland,Water
176,NULL,Water,Water,NULL,Water,Water,Water,Wetland
177,NULL,Water,Water,NULL,Water,Water,Water,Forest
178,NULL,Water,Water,Non_Water,Water,Wetland,Wetland,Water
179,NULL,Water,Water,Non_Water,Water,Wetland,Water,Water
180,NULL,Water,Water,Non_Water,Water,Water,Wetland,Water
181,NULL,Water,Water,Water,Water,Grassland,Wetland,Wetland
182,NULL,Water,Water,Water,Water,Wetland,Wetland,Water
183,NULL,Water,Water,Water,Water,Wetland,Water,Forest
184,NULL,Water,Water,Water,Water,Water,Wetland,Forest
185,NULL,Water,Water,Water,Water,Water,Water,Wetland
186,NULL,Water,Water,Water,Water,Water,Water,Water
187,NULL,Water,Water,Water,Water,Water,Water,Forest
188,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
189,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
190,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
191,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
192,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
193,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
195,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
198,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
199,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
200,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
204,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
205,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
206,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
207,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
208,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
209,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
210,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
211,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
212,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
213,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
214,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
215,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
216,Grassland,Water,Water,Water,Water,Wetland,Water,Water
217,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,Cropland,Water,Water,Water,Water,Wetland,Wetland,Forest
219,Cropland,Water,Water,Water,Water,Wetland,Water,Water
220,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
221,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
222,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
223,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
224,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
225,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
226,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
227,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
228,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
229,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
230,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
231,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
232,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
233,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
234,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
235,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
236,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
237,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
238,Wetland,NULL,Water,Water,Water,Water,Water,Water
239,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
240,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
241,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
242,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
243,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
244,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
245,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
246,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
247,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
248,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
249,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
250,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
251,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
252,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
253,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
254,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
255,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
256,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
257,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
258,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Forest
259,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
260,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
261,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
262,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
263,Wetland,Wetland,Water,Water,Water,Water,Water,Water
264,Wetland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
265,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
266,Wetland,Water,Water,NULL,Water,Wetland,Water,Water
267,Wetland,Water,Water,NULL,Water,Wetland,Water,Forest
268,Wetland,Water,Water,NULL,Water,Water,Water,Water
269,Wetland,Water,Water,NULL,Water,Water,Water,Forest
270,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
271,Wetland,Water,Water,Water,Water,Water,Water,Wetland
272,Wetland,Water,Water,Water,Water,Water,Water,Water
273,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
274,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
275,Wetland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
276,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
277,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
278,Bareland,Wetland,Water,Water,Water,Wetland,Water,Wetland
279,Bareland,Wetland,Water,Water,Water,Water,Water,Water
280,Bareland,Bareland,Wetland,NULL,Wetland,Wetland,Water,Water
281,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
282,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
283,Bareland,Bareland,Water,Water,Water,Wetland,Water,Water
284,Bareland,Bareland,Water,Water,Water,Wetland,Water,Forest
285,Bareland,Bareland,Water,Water,Water,Water,Water,Water
286,Bareland,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
287,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
288,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
289,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
290,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
291,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
292,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
293,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
294,Bareland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
295,Bareland,Water,Water,Non_Water,Water,Wetland,Water,Water
296,Bareland,Water,Water,Water,Water,Grassland,Water,Forest
297,Bareland,Water,Water,Water,Water,Wetland,Wetland,Water
298,Bareland,Water,Water,Water,Water,Wetland,Wetland,Forest
299,Bareland,Water,Water,Water,Water,Wetland,Water,Water
300,Bareland,Water,Water,Water,Water,Bareland,Water,Wetland
301,Bareland,Water,Water,Water,Water,Bareland,Water,Forest
302,Bareland,Water,Water,Water,Water,Water,Wetland,Forest
303,Bareland,Water,Water,Water,Water,Water,Water,Water
304,Bareland,Water,Water,Water,Water,Water,Water,Forest
305,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
306,Water,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
307,Water,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
308,Water,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
309,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
310,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
311,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
312,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
313,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
314,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
315,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
316,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
317,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
318,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
319,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
320,Water,NULL,Wetland,NULL,Wetland,Water,Water,Water
321,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
322,Water,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
323,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
324,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
325,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
326,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
327,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
328,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
329,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
330,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
331,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
332,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
333,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
334,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
335,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
336,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
337,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
338,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
339,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
340,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Water
341,Water,NULL,Wetland,Water,Wetland,Water,Water,Grassland
342,Water,NULL,Wetland,Water,Wetland,Water,Water,Wetland
343,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
344,Water,NULL,Wetland,Water,Wetland,Water,Water,Forest
345,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
346,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
347,Water,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
348,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
349,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
350,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
351,Water,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
352,Water,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Water
353,Water,NULL,Water,NULL,Water,Water,Wetland,Water
354,Water,NULL,Water,NULL,Water,Water,Water,Water
355,Water,NULL,Water,NULL,Water,Water,Water,Forest
356,Water,NULL,Water,Non_Water,Water,Wetland,Water,Water
357,Water,NULL,Water,Non_Water,Water,Water,Water,Water
358,Water,NULL,Water,Water,Water,Wetland,Wetland,Wetland
359,Water,NULL,Water,Water,Water,Wetland,Wetland,Water
360,Water,NULL,Water,Water,Water,Wetland,Wetland,Forest
361,Water,NULL,Water,Water,Water,Wetland,Water,Grassland
