Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHQ_M_R
2738,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2739,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2740,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
2741,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2742,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2743,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2744,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2745,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2746,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2747,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2748,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2749,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2750,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2751,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2752,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2753,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2754,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2755,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
2756,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2757,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2758,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2759,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2760,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2761,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2762,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2763,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2764,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2765,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2766,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2767,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2768,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2769,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2770,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2771,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2772,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2773,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2774,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2775,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2776,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2777,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2778,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2779,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2780,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2781,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2782,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2783,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2784,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2785,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2786,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2787,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2788,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2789,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2790,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2791,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2792,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2793,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2794,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2795,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2796,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2797,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2798,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2799,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2800,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2801,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2802,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
2803,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2804,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
2805,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2806,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2807,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
2808,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
2809,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2810,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
2811,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
2812,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2813,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2814,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2815,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2816,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2817,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2818,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
2819,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2820,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2821,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2822,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2823,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2824,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2825,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2826,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2827,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2828,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2829,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2830,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2831,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2832,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
2833,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2834,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
2835,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2836,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2837,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
2838,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2839,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2840,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2841,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
2842,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2843,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2844,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2845,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2846,NULL,Forest,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
2847,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2848,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
2849,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2850,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2851,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2852,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2853,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2854,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2855,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2856,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2857,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2858,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2859,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2860,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2861,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2862,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
2863,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
2864,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2865,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2866,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2867,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2868,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2869,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2870,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2871,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2872,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2873,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2874,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2875,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2876,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2877,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2878,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
2879,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
2880,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2881,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2882,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2883,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
2884,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2885,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
2886,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2887,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2888,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2889,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2890,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2891,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2892,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2893,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
2894,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2895,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2896,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2897,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2898,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2899,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2900,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2901,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2902,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2903,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2904,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2905,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2906,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2907,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2908,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2909,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2910,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2911,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2912,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2913,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2914,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2915,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2916,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2917,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2918,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2919,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2920,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2921,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2922,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
2923,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2924,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2925,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2926,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
2927,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
2928,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
2929,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2930,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Forest
2931,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
2932,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2933,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2934,NULL,Forest,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
2935,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
2936,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2937,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2938,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2939,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2940,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2941,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2942,NULL,Forest,Water,NULL,Water,Shrubland,Shrubland,Forest
2943,NULL,Forest,Water,NULL,Water,Wetland,Water,Wetland
2944,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,Wetland
2945,NULL,Forest,Water,Non_Water,Water,Wetland,Water,Wetland
2946,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2947,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2948,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2949,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
2950,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
2951,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2952,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2953,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2954,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2955,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2956,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2957,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2958,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2959,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
2960,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
2961,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2962,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2963,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2964,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2965,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2966,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2967,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2968,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
2969,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2970,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2971,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
2972,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2973,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
2974,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2975,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2976,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2977,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2978,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2979,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2980,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2981,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2982,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2983,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2984,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2985,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2986,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
2987,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2988,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2989,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2990,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2991,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2992,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
2993,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2994,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2995,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
2996,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2997,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2998,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
2999,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3000,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3001,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
3002,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3003,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
3004,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3005,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
3006,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
3007,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3008,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3009,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3010,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
3011,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
3012,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3013,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3014,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3015,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
3016,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3017,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3018,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3019,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3020,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3021,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3022,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3023,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
3024,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
3025,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3026,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3027,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3028,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3029,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3030,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3031,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
3032,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3033,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3034,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3035,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3036,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3037,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3038,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3039,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3040,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3041,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3042,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
3043,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3044,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3045,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3046,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3047,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
3048,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3049,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
3050,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
3051,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
3052,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3053,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3054,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3055,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3056,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3057,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3058,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3059,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3060,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3061,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
