Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
70,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Water
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
102,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
106,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Built-up
110,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Built-up,Bareland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
119,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
121,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
122,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
124,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
125,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
126,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
127,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Forest
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Water
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
136,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
139,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
140,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Water,Water
141,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
142,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
168,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
171,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
172,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
173,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
174,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
175,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Bareland
177,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Water
181,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
182,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
185,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
186,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
189,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
192,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
193,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
194,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
195,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
196,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
197,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
199,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
200,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
201,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
203,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
204,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
206,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
207,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
210,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
212,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
213,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
214,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
215,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
218,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
219,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
220,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
221,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
223,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
224,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
225,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
226,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
227,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
228,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
229,NULL,NULL,Water,NULL,Water,Built-up,Grassland,Grassland
230,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
231,NULL,NULL,Water,NULL,Water,Water,Bareland,Grassland
232,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
233,NULL,NULL,Water,NULL,Water,Water,Water,Water
234,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Forest
235,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
236,NULL,NULL,Water,Non_Water,Water,Grassland,Bareland,Grassland
237,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
238,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Bareland
239,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
240,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Water
241,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
242,NULL,NULL,Water,Non_Water,Water,Water,Water,Bareland
243,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
244,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
245,NULL,NULL,Water,Water,Water,Grassland,Wetland,Bareland
246,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
247,NULL,NULL,Water,Water,Water,Grassland,Wetland,Forest
248,NULL,NULL,Water,Water,Water,Grassland,Bareland,Grassland
249,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
250,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
251,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
252,NULL,NULL,Water,Water,Water,Bareland,Grassland,Forest
253,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
254,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
255,NULL,NULL,Water,Water,Water,Water,Grassland,Water
256,NULL,NULL,Water,Water,Water,Water,Wetland,Water
257,NULL,NULL,Water,Water,Water,Water,Bareland,Forest
258,NULL,NULL,Water,Water,Water,Water,Water,Grassland
259,NULL,NULL,Water,Water,Water,Water,Water,Water
260,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
268,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
269,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Bareland
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
297,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
303,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Built-up
304,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
305,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
314,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
315,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
322,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
324,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
325,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
326,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
327,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
328,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
329,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
330,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
331,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Water
332,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
333,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Bareland,Water
334,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Bareland,Forest
