Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
96,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
97,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
98,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
99,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
100,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
101,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
102,NULL,NULL,Water,Water,Water,NULL,NULL,Water
103,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
133,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
136,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
138,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
140,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
141,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
142,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
143,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
144,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
145,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
146,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
147,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
167,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
168,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
172,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
173,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
174,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
175,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
177,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
183,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
187,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
188,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
189,NULL,Bareland,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
190,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
191,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
192,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
193,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
194,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
230,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
235,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
237,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
244,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
247,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
248,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
249,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
250,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
263,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
270,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
273,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
277,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
278,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
281,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
283,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
284,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
286,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
289,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
294,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
296,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
297,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
298,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
299,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
300,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
301,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
302,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
303,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
304,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
305,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
306,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
307,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
311,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
313,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
314,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
315,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
316,NULL,Water,Water,NULL,Water,NULL,NULL,Water
317,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
318,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
319,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
320,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
321,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
322,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
323,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
324,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
325,NULL,Water,Water,Water,Water,NULL,NULL,Water
326,NULL,Water,Water,Water,Water,NULL,NULL,Forest
327,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
330,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
335,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
336,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
337,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
339,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
340,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
341,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
343,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
