Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
103,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
104,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
105,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
196,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,Forest
198,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
258,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
259,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
301,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
302,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
303,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Water
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
309,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
315,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
317,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
321,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
