Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Built-up
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
227,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Bareland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
237,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Built-up
239,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
306,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
309,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
