Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
271,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
288,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
308,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
313,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
317,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
