Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R
89,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
92,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
98,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
99,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
100,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
113,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
114,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Forest
115,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
117,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
118,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
119,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
120,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
121,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
122,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
124,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
125,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
130,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
131,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
136,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
138,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
139,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
141,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
145,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
147,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
148,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
149,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
150,NULL,NULL,Water,NULL,Water,Water,Water,Water
151,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Water
152,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
153,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
154,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
155,NULL,NULL,Water,Water,Water,NULL,Wetland,Grassland
156,NULL,NULL,Water,Water,Water,Grassland,Water,Water
157,NULL,NULL,Water,Water,Water,Bareland,Water,Water
158,NULL,NULL,Water,Water,Water,Built-up,Water,Water
159,NULL,NULL,Water,Water,Water,Water,Water,Water
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
189,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
191,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Water
192,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Water
197,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
198,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Water,Grassland
199,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
202,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
203,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
212,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
213,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
214,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Grassland,Grassland
215,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Built-up,Water
216,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
218,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
219,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
221,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
222,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
226,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
227,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
228,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
233,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
234,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
235,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
236,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
237,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
238,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
245,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
246,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
247,NULL,Cropland,Water,NULL,Water,Bareland,Grassland,Grassland
248,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
250,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
254,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
255,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
260,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
261,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
262,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
265,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
266,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
267,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
268,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
270,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,Bareland,NULL,Water,Non_Wetland,Built-up,Built-up,Water
273,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
277,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
278,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
279,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
281,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
282,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
283,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
284,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
286,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
287,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
289,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Water
290,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
291,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Water,Forest
292,NULL,Bareland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
293,NULL,Bareland,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
294,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
295,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Built-up,Water,Grassland
296,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
297,NULL,Bareland,Grassland,Water,Non_Wetland,Built-up,Grassland,Grassland
298,NULL,Bareland,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
299,NULL,Bareland,Grassland,Water,Non_Wetland,Built-up,Built-up,Water
300,NULL,Bareland,Grassland,Water,Non_Wetland,Built-up,Water,Grassland
301,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
302,NULL,Bareland,Wetland,NULL,Wetland,Grassland,Water,Forest
303,NULL,Bareland,Wetland,Water,Wetland,Built-up,Built-up,Water
304,NULL,Bareland,Wetland,Water,Wetland,Built-up,Water,Water
305,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
306,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
307,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland,Bareland,Forest
308,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up,Water,Water
309,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
313,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
315,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
316,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
317,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
318,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
319,NULL,Bareland,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
320,NULL,Bareland,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
321,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Water
322,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Forest
323,NULL,Bareland,Water,Non_Water,Water,Grassland,Water,Water
324,NULL,Bareland,Water,Non_Water,Water,Bareland,Bareland,Forest
325,NULL,Bareland,Water,Non_Water,Water,Water,Water,Water
326,NULL,Bareland,Water,Water,Water,Built-up,Water,Grassland
327,NULL,Bareland,Water,Water,Water,Water,Water,Water
328,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
330,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
