Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
100,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
130,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
155,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
171,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
176,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
188,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
189,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
206,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
208,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
210,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
211,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
212,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Forest
213,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Water
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Wetland,Water,Wetland,Forest,Grassland,Forest
217,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
221,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
225,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Bareland
227,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
228,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
230,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
233,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
235,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Forest,Water
238,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
239,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
241,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
244,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
245,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
251,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
252,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
255,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
258,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
259,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
260,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
262,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
264,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
265,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
266,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
267,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
268,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
269,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
270,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
271,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
272,NULL,NULL,Water,Water,Water,NULL,Grassland,Forest
273,NULL,NULL,Water,Water,Water,Wetland,Wetland,Bareland
274,NULL,NULL,Water,Water,Water,Wetland,Forest,Water
275,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
321,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
322,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
323,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
325,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Forest
326,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
327,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Forest
328,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
330,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Forest,Bareland
331,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Forest,Water
