Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KND_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KND_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KND_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KND_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KND_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KND_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KND_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KND_M_R
335,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
336,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
337,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
338,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
339,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
340,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
341,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
342,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
343,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
344,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
345,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
346,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
347,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
348,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
349,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
350,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
351,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
352,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
353,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
354,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
355,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
356,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
357,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
358,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
362,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
363,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
364,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
365,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
367,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
368,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
369,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
370,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
371,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
375,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
376,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
377,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
378,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
379,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
380,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
381,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
382,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
383,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
384,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
385,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
387,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
388,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
389,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
390,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
391,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
392,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
393,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
394,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
395,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
396,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
397,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
398,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
399,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
400,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
401,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
402,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
403,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
404,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
405,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
406,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
407,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
408,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
409,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
410,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
411,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
412,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
413,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
414,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
415,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
416,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
417,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
418,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
419,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
420,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
421,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
422,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
423,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
424,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
425,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
426,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
427,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
428,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
429,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
430,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
431,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
432,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
433,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
434,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
435,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
436,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
437,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
438,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
439,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
440,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
441,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
442,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
443,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
444,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
445,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
446,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
447,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
448,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
449,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
450,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
451,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
452,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
453,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
454,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
455,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
456,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
457,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
458,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
459,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
460,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
461,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
462,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
463,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
464,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
465,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
466,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
467,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
468,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
469,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
470,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
471,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
472,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
473,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
474,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
475,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
476,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
477,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
478,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
479,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
480,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
481,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
482,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
483,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
484,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
485,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
486,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
487,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
488,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
489,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
490,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
491,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
492,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
493,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
494,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
495,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
496,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
497,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
498,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
499,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
500,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
501,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
502,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
503,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
504,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
505,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
506,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
507,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
508,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
509,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
510,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
511,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
512,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
513,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
514,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
515,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
516,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
517,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
518,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
519,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
520,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
521,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
522,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
523,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
524,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
525,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
526,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
527,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
528,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
529,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
530,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
531,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
532,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
533,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
534,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
535,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
536,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
537,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
538,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
539,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
540,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
541,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
542,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
543,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
544,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
545,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
546,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
547,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
548,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
549,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
550,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
551,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
552,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
553,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
554,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
555,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
556,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
557,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
558,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
559,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
560,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
561,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
562,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
563,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
564,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
565,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
566,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
567,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
568,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
569,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
570,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
571,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
572,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
573,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
574,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
575,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
576,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
577,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
578,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
579,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
580,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
581,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
582,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
583,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
584,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
585,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
586,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
587,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
588,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
589,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
590,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
591,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
592,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
593,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
594,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
595,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
596,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
597,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
598,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
599,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
600,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
601,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
602,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
603,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
604,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
605,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
606,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
607,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
608,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
609,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
610,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
611,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
612,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
613,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
614,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
615,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
616,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
617,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
618,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
619,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
620,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
621,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
622,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
623,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
624,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
625,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
626,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
627,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
628,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
629,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
630,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
631,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
632,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
633,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
634,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
635,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
636,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
637,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
638,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
639,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
640,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
641,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
642,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
643,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
644,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
645,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
646,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
647,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
648,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
649,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
650,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
651,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
652,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
653,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
654,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
655,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
656,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
657,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
658,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
659,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
660,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
661,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
662,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
663,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
664,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
665,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
666,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
667,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
668,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
669,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
670,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
671,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
