Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
33,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
39,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
41,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
42,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
46,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
67,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
69,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
71,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
72,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
73,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
74,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
75,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
76,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
77,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
78,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
79,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
80,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
81,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
82,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
83,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
84,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
85,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
86,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
87,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Water
88,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
89,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
90,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
91,NULL,Wetland,Water,Water,Water,Water,Water,Bareland
92,NULL,Wetland,Water,Water,Water,Water,Water,Water
93,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
96,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
98,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
99,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
100,NULL,Bareland,Water,Water,Water,Water,Water,Grassland
101,NULL,Bareland,Water,Water,Water,Water,Water,Water
102,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
105,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
106,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
107,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
110,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
111,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
112,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
113,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
114,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
115,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
116,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
117,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
118,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
119,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
120,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
121,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
122,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
123,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
124,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
125,NULL,Water,Water,NULL,Water,Wetland,Water,Grassland
126,NULL,Water,Water,Water,Water,Wetland,Wetland,Water
127,NULL,Water,Water,Water,Water,Wetland,Water,Forest
128,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
129,NULL,Water,Water,Water,Water,Water,Wetland,Water
130,NULL,Water,Water,Water,Water,Water,Water,Water
131,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
132,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
135,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
136,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
138,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
139,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
141,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
142,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
143,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
144,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
145,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
146,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
149,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
150,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
153,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
156,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
157,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
158,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
159,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
160,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
161,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
162,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
165,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
168,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
169,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
170,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
171,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
172,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
173,Cropland,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
174,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
176,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
177,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
178,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
179,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
180,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
181,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
182,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
183,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
184,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
185,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
186,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
187,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
188,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
189,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
190,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
191,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
192,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
193,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
194,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
195,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
196,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
197,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
198,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
199,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
200,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
201,Wetland,NULL,Water,Water,Water,Grassland,Water,Forest
202,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Water
203,Wetland,NULL,Water,Water,Water,Wetland,Water,Grassland
204,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
205,Wetland,NULL,Water,Water,Water,Wetland,Water,Forest
206,Wetland,NULL,Water,Water,Water,Water,Wetland,Grassland
207,Wetland,NULL,Water,Water,Water,Water,Wetland,Water
208,Wetland,NULL,Water,Water,Water,Water,Water,Water
209,Wetland,NULL,Water,Water,Water,Water,Water,Forest
210,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland,Water,Grassland
211,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
212,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
213,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
214,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
215,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
216,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
217,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
218,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
219,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
220,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
221,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
222,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
223,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
224,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
225,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
226,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
227,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
228,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
229,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
230,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
231,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
232,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Water
233,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
234,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
235,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
236,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
237,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
238,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
239,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
240,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
241,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
242,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
243,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
244,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
245,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
246,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
247,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
248,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
249,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Wetland
250,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Water
251,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
252,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
253,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
254,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
255,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
256,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
257,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Bareland
258,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
259,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
260,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
261,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
262,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
263,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
264,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
265,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
266,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
267,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
268,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
269,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
270,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
271,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
272,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Water
273,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Forest
274,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
275,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
276,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
277,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
278,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
279,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
280,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
281,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
282,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
283,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
284,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
285,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
286,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
287,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Forest
288,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
289,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
290,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Bareland
291,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
292,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
293,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
294,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
295,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
296,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
297,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
298,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
299,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
300,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
301,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
302,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
303,Wetland,Wetland,Wetland,Water,Wetland,Forest,Water,Forest
304,Wetland,Wetland,Water,NULL,Water,Grassland,Water,Wetland
305,Wetland,Wetland,Water,NULL,Water,Grassland,Water,Water
306,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,Water
307,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
308,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Wetland
309,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Water
310,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Water
311,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
312,Wetland,Wetland,Water,NULL,Water,Water,Water,Bareland
313,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
314,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
315,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
316,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
317,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
318,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Water
319,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
320,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
321,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
322,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
323,Wetland,Wetland,Water,Water,Water,Water,Wetland,Bareland
324,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
325,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
326,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
327,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
328,Wetland,Wetland,Water,Water,Water,Water,Water,Water
329,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
330,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
331,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Water
332,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
333,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
334,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
335,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Wetland
336,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
337,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
338,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
339,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
340,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Bareland
341,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
342,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
343,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
344,Wetland,Bareland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
345,Wetland,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
346,Wetland,Bareland,Wetland,NULL,Wetland,Wetland,Water,Water
347,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
348,Wetland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
