Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
54,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
55,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Water
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
160,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
163,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
164,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
165,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
166,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
173,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
174,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
177,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
178,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
181,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
203,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
207,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
212,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
221,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
226,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Wetland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Water
243,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
256,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
258,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Bareland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
269,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
271,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
272,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
275,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,NULL
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
291,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
292,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Built-up
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Forest
294,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
295,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
296,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
297,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
298,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
300,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
303,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Built-up
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
311,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,Grassland
312,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,NULL,Water
313,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Water
314,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
315,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
317,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
325,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
