Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
75,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Cropland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
193,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
195,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
196,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
209,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
211,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
228,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
229,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
233,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
236,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
237,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
241,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
247,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
280,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Wetland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
307,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Wetland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
319,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
320,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Wetland
321,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
323,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
