Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Water
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Water
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Built-up,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Cropland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Wetland
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Water
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
309,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Forest,Bareland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
