Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R
5156,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
5157,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
5158,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,NULL
5159,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5160,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Cropland
5161,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
5162,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
5163,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Cropland
5164,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
5165,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
5166,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Shrubland,Cropland
5167,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,NULL
5168,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
5169,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
5170,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Water,NULL
5171,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Forest,Wetland
5172,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
5173,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
5174,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Cropland
5175,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
5176,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
5177,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
5178,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5179,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5180,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
5181,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Water
5182,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
5183,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
5184,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Forest,Cropland
5185,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
5186,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
5187,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
5188,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
5189,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
5190,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
5191,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
5192,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
5193,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Water
5194,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Forest
5195,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Cropland
5196,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,NULL
5197,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
5198,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
5199,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,NULL
5200,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
5201,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Cropland
5202,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
5203,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
5204,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Forest,NULL
5205,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Forest,Grassland
5206,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Forest,Cropland
5207,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
5208,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Cropland
5209,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
5210,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,NULL
5211,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
5212,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Cropland
5213,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,NULL
5214,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,Grassland
5215,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,Forest
5216,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
5217,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
5218,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
5219,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest,Cropland
5220,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Cropland
5221,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,NULL
5222,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
5223,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Cropland
5224,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Wetland,Water
5225,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
5226,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Cropland
5227,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5228,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
5229,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
5230,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Wetland
5231,Grassland,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
5232,Grassland,NULL,Cropland,Water,Non_Wetland,Water,NULL,Wetland
5233,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
5234,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5235,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
5236,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
5237,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
5238,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
5239,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
5240,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Cropland
5241,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
5242,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
5243,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5244,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Cropland
5245,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
5246,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
5247,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Cropland
5248,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
5249,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
5250,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Cropland
5251,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Wetland
5252,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Water
5253,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
5254,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
5255,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
5256,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Cropland
5257,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
5258,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
5259,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
5260,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Cropland
5261,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5262,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5263,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
5264,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
5265,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Cropland
5266,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
5267,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
5268,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
5269,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
5270,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Water,NULL
5271,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
5272,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
5273,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
5274,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
5275,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
5276,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
5277,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Cropland
5278,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
5279,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
5280,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
5281,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Cropland
5282,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
5283,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
5284,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
5285,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
5286,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
5287,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5288,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Shrubland,NULL
5289,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,NULL
5290,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
5291,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Forest,Grassland
5292,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Forest,Cropland
5293,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Forest,Wetland
5294,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
5295,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
5296,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
5297,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
5298,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
5299,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
5300,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
5301,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
5302,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
5303,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
5304,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Water
5305,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,NULL
5306,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Wetland
5307,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
5308,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
5309,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
5310,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Cropland
5311,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
5312,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
5313,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
5314,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
5315,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
5316,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
5317,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
5318,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Cropland
5319,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Water
5320,Grassland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
5321,Grassland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
5322,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
5323,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
5324,Grassland,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
5325,Grassland,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
5326,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
5327,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
5328,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
5329,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
5330,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
5331,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
5332,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
5333,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
5334,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,NULL
5335,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Grassland
5336,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Cropland
5337,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Wetland
5338,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Forest
5339,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,NULL
5340,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
5341,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Cropland
5342,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Wetland
5343,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Bareland
5344,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
5345,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
5346,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
5347,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Cropland
5348,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Bareland
5349,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
5350,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
5351,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Cropland
5352,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Wetland
5353,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
5354,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,NULL
5355,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
5356,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Cropland
5357,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Wetland
5358,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Water
5359,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest,Forest
5360,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,NULL
5361,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
5362,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Cropland
5363,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
5364,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
5365,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Cropland
5366,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
5367,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
5368,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,NULL
5369,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
5370,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Cropland
5371,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
5372,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
5373,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,NULL
5374,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
5375,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Cropland
5376,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
5377,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
5378,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Cropland
5379,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
5380,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
5381,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,NULL
5382,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
5383,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
5384,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Water
5385,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Forest
5386,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
5387,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
5388,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Cropland
5389,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,NULL
5390,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
5391,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Cropland
5392,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
5393,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
5394,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Cropland
5395,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Bareland
5396,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
5397,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
5398,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
5399,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Cropland
5400,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
5401,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Cropland
5402,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
5403,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
5404,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,NULL
5405,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Grassland,NULL
5406,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Grassland,Grassland
5407,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Grassland
5408,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Cropland
5409,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Wetland
5410,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Water
5411,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Cropland
5412,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,NULL
5413,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
5414,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
5415,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Forest
5416,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,NULL
5417,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
5418,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
5419,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5420,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Cropland
5421,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
5422,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,NULL
5423,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
5424,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5425,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
5426,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
5427,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
5428,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
5429,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Shrubland,Cropland
5430,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
5431,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Cropland
5432,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,NULL
5433,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,NULL
5434,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
5435,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
5436,Grassland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
5437,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,NULL
5438,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
5439,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
5440,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Water
5441,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Forest
5442,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,NULL
5443,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
5444,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Cropland
5445,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
5446,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
5447,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
5448,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
5449,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Cropland
5450,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
5451,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
5452,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
5453,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Cropland
5454,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
5455,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
5456,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
5457,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,NULL
5458,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
5459,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Cropland
5460,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Wetland
5461,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
5462,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,NULL
5463,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
5464,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,NULL
5465,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
5466,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
5467,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,NULL
5468,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Water,NULL
5469,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Grassland
5470,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Wetland
5471,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Forest
5472,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Forest,NULL
5473,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
5474,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Forest
5475,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
5476,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
5477,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Cropland
5478,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Forest
5479,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
5480,Grassland,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
5481,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest,Grassland
5482,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest,Wetland
5483,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest,Water
5484,Grassland,NULL,Wetland,Water,Wetland,Shrubland,NULL,NULL
5485,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
