Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R
3409,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3410,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3411,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3412,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3413,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3414,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3415,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3416,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3417,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3418,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3419,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3420,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3421,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3422,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
3423,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3424,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3425,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3426,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3427,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3428,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
3429,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
3430,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
3431,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3432,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3433,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3434,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3435,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3436,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3437,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3438,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3439,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
3440,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
3441,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Forest
3442,Grassland,Wetland,Wetland,NULL,Wetland,Cropland,NULL,Forest
3443,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
3444,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
3445,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Wetland
3446,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Water
3447,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3448,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3449,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3450,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3451,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
3452,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3453,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3454,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
3455,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
3456,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3457,Grassland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
3458,Grassland,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
3459,Grassland,Water,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3460,Grassland,Water,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3461,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3462,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3463,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3464,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3465,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3466,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3467,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3468,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3469,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3470,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3471,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3472,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3473,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
3474,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3475,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3476,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3477,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3478,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3479,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3480,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
3481,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3482,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3483,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3484,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3485,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3486,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3487,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3488,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3489,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3490,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3491,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
3492,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3493,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Shrubland,Water
3494,Grassland,Forest,Water,Non_Water,Water,Shrubland,NULL,NULL
3495,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3496,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3497,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3498,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3499,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3500,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3501,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
3502,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
3503,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3504,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
3505,Grassland,Forest,Forest,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3506,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,NULL,NULL
3507,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3508,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3509,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3510,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3511,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3512,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3513,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3514,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3515,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
3516,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
3517,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3518,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3519,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3520,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3521,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3522,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
3523,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
3524,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
3525,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
3526,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
3527,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
3528,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3529,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3530,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
3531,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3532,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3533,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3534,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3535,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3536,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3537,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3538,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3539,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3540,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
3541,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
3542,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
3543,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
3544,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
3545,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3546,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3547,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3548,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3549,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
3550,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3551,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3552,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3553,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3554,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3555,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3556,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3557,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3558,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3559,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
3560,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3561,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
3562,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3563,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3564,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
3565,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
3566,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
3567,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
3568,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3569,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3570,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3571,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3572,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
3573,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3574,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
3575,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
3576,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
3577,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
3578,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
3579,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
3580,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
3581,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
3582,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3583,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
3584,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3585,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
3586,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3587,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
3588,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3589,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
3590,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3591,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
3592,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
3593,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
3594,Cropland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
3595,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
3596,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
3597,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
3598,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
3599,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
3600,Cropland,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
3601,Cropland,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
3602,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
3603,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
3604,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
3605,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
3606,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3607,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3608,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3609,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3610,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3611,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3612,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3613,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3614,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3615,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3616,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3617,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3618,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3619,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3620,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3621,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3622,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3623,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3624,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3625,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
3626,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
3627,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
3628,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3629,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
3630,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3631,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3632,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3633,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3634,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3635,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3636,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3637,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3638,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3639,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3640,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3641,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3642,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3643,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3644,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
3645,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3646,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
3647,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3648,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
3649,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3650,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3651,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3652,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3653,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3654,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3655,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3656,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3657,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3658,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3659,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3660,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3661,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3662,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3663,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3664,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3665,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3666,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3667,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
3668,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3669,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3670,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3671,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3672,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3673,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3674,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3675,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3676,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3677,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3678,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3679,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3680,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3681,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
3682,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Cropland
3683,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
3684,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
3685,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
3686,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
3687,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3688,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
3689,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
3690,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
3691,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
3692,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
3693,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3694,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3695,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3696,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
3697,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3698,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
3699,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3700,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3701,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3702,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
3703,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
3704,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Bareland
3705,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
3706,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3707,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
3708,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
3709,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
3710,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
3711,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,NULL
3712,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
3713,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
3714,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3715,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
3716,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
3717,Cropland,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
3718,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
3719,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Cropland
3720,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
3721,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
3722,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3723,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
3724,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3725,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
