Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
116,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
139,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
140,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
151,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
152,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
155,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
157,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
160,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
161,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
162,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
164,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
165,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
166,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
200,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
210,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
213,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
216,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
239,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
245,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
246,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Forest
247,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Bareland
248,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
252,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
254,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Cropland
256,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Cropland
260,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Cropland
264,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
268,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
272,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
274,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
276,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
278,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Bareland
279,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Bareland
280,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
283,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
284,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
286,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
287,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
288,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
289,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
290,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Water
292,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
293,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Water
294,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
296,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
297,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
298,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
299,NULL,NULL,Wetland,Water,Wetland,Water,Water,Cropland
300,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
301,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
304,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
307,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
308,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
309,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
310,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
311,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
312,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
313,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
314,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
316,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
317,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
318,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
325,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
