Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Wetland
101,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
103,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
107,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Wetland
114,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
234,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Wetland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
254,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
300,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Bareland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Built-up
309,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
