Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R
4177,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Wetland
4178,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Water
4179,Grassland,NULL,Wetland,Water,Wetland,NULL,Water,Wetland
4180,Grassland,NULL,Wetland,Water,Wetland,NULL,Water,Water
4181,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Water,Water
4182,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
4183,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
4184,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
4185,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
4186,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
4187,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
4188,Grassland,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
4189,Grassland,NULL,Wetland,Water,Wetland,Cropland,Water,Water
4190,Grassland,NULL,Wetland,Water,Wetland,Wetland,Shrubland,Water
4191,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Wetland
4192,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
4193,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
4194,Grassland,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
4195,Grassland,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
4196,Grassland,NULL,Wetland,Water,Wetland,Water,Shrubland,Grassland
4197,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
4198,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
4199,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4200,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
4201,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Built-up,Grassland
4202,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
4203,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
4204,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4205,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
4206,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4207,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
4208,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4209,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4210,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4211,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4212,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4213,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
4214,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Forest,Grassland
4215,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4216,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
4217,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
4218,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
4219,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
4220,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4221,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4222,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4223,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
4224,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4225,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4226,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
4227,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
4228,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Water
4229,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
4230,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
4231,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
4232,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
4233,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Shrubland,Water
4234,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
4235,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4236,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
4237,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
4238,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
4239,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
4240,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
4241,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
4242,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
4243,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
4244,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4245,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
4246,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
4247,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
4248,Grassland,NULL,Water,NULL,Water,NULL,Grassland,Forest
4249,Grassland,NULL,Water,NULL,Water,NULL,Water,Water
4250,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
4251,Grassland,NULL,Water,NULL,Water,Wetland,Shrubland,Grassland
4252,Grassland,NULL,Water,NULL,Water,Bareland,Shrubland,Grassland
4253,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
4254,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland,Grassland
4255,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland,Wetland
4256,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland,Water
4257,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
4258,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Cropland
4259,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Water
4260,Grassland,NULL,Water,Non_Water,Water,Wetland,Shrubland,Grassland
4261,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
4262,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
4263,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Wetland
4264,Grassland,NULL,Water,Non_Water,Water,Water,Water,Wetland
4265,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
4266,Grassland,NULL,Water,Water,Water,NULL,Grassland,Grassland
4267,Grassland,NULL,Water,Water,Water,NULL,Grassland,Wetland
4268,Grassland,NULL,Water,Water,Water,NULL,Grassland,Water
4269,Grassland,NULL,Water,Water,Water,NULL,Water,Wetland
4270,Grassland,NULL,Water,Water,Water,NULL,Water,Water
4271,Grassland,NULL,Water,Water,Water,NULL,Forest,Wetland
4272,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
4273,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Wetland
4274,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Water
4275,Grassland,NULL,Water,Water,Water,Grassland,Forest,Grassland
4276,Grassland,NULL,Water,Water,Water,Grassland,Forest,Wetland
4277,Grassland,NULL,Water,Water,Water,Grassland,Forest,Water
4278,Grassland,NULL,Water,Water,Water,Cropland,Grassland,Water
4279,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
4280,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
4281,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4282,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4283,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4284,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4285,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4286,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4289,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4290,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4291,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
4292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
4293,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4295,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4296,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4297,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4298,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4299,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4300,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4301,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4302,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4303,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4304,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4305,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
4306,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4307,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
4308,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
4309,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4310,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4311,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4312,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4313,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4314,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
4315,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4316,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4317,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4318,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4319,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4320,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4321,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4322,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
4323,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4324,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
4325,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
4326,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4327,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4328,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
4329,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4330,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
4331,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
4332,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4333,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
4334,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
4335,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
4336,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
4337,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
4338,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4339,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
4340,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
4341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
4342,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
4343,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
4344,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
4345,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
4346,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4347,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4348,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
4349,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
4350,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4351,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
4352,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
4353,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
4354,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
4355,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4356,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4357,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4358,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4359,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4360,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4361,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4362,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4363,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4364,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
4365,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
4366,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4367,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4368,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4369,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4370,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Water
4371,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Wetland
4372,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
4373,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4374,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
4375,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Water
4376,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Water,Water
4377,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest,Grassland
4378,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
4379,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Water
4380,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
4381,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
4382,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Water
4383,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Wetland
4384,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
4385,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
4386,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Wetland
4387,Grassland,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
4388,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4389,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4390,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4391,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4392,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
4393,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4394,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
4395,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4396,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
4397,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4398,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4399,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4400,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,NULL
4401,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
4402,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4403,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4404,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
4405,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4406,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
4407,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4408,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4409,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4410,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4411,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4412,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4413,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4414,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4415,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4416,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
4417,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
4418,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
4419,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4420,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4421,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4422,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4423,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4424,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4425,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4426,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4427,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4428,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4429,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4430,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4431,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
4432,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4433,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4434,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4435,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
4436,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,NULL
4437,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4438,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4439,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4440,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
4441,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4442,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
4443,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4444,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4445,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
4446,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
4447,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4448,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
4449,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
4450,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4451,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
4452,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
4453,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
4454,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
4455,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
4456,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
4457,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4458,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4459,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
4460,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4461,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4462,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
4463,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
4464,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
4465,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4466,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
4467,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4468,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4469,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
4470,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
4471,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
4472,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
4473,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
4474,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
4475,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
4476,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4477,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4478,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
4479,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4480,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
4481,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
4482,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4483,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4484,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4485,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4486,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
4487,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4488,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4489,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4490,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4491,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4492,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4493,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4494,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4495,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
4496,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4497,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4498,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4499,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4500,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4501,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4502,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4503,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
