Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
58,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
62,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
63,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
64,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
65,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
66,NULL,NULL,Water,Water,Water,Grassland,Bareland,Bareland
67,NULL,NULL,Water,Water,Water,Grassland,Bareland,Water
68,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
93,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
106,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Water
107,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
108,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
116,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
117,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Grassland
121,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Bareland
122,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
123,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
127,NULL,Wetland,Forest,Water,Non_Wetland,Shrubland,Bareland,Bareland
128,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
137,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
141,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
144,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
154,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
162,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
170,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
171,NULL,Built-up,Wetland,NULL,Wetland,Forest,Bareland,Bareland
172,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
173,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Grassland
174,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Water
175,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
176,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
177,NULL,Built-up,Water,Water,Water,NULL,Bareland,Water
178,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Bareland
179,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Water
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
183,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
187,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
188,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
189,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
191,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
192,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
193,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
195,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Bareland,Forest
198,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Bareland,Water
199,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
200,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
202,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Water
203,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
204,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
205,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
206,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
207,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
208,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
211,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
212,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Bareland,Water
213,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
214,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
219,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
220,NULL,Water,Grassland,NULL,Non_Wetland,Forest,Bareland,Water
221,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
222,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
224,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
225,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland,Bareland
226,NULL,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
227,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
228,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
229,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
230,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
231,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
232,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
233,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
234,NULL,Water,Water,NULL,Water,NULL,Bareland,Water
235,NULL,Water,Water,NULL,Water,Grassland,Bareland,Water
236,NULL,Water,Water,NULL,Water,Bareland,Bareland,Grassland
237,NULL,Water,Water,NULL,Water,Bareland,Bareland,Bareland
238,NULL,Water,Water,Water,Water,NULL,Bareland,Water
239,NULL,Water,Water,Water,Water,Grassland,Bareland,Bareland
240,NULL,Water,Water,Water,Water,Grassland,Bareland,Water
241,NULL,Water,Water,Water,Water,Bareland,Bareland,Water
242,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
246,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
247,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
249,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
250,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
254,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
255,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
256,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
257,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
258,NULL,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
259,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
260,NULL,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
261,NULL,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Water
262,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
265,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
266,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
281,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
285,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
288,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
290,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
291,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
293,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
294,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
297,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
298,NULL,Forest,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
299,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
300,NULL,Forest,Water,NULL,Water,Bareland,Bareland,Grassland
301,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
305,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
306,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
307,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
308,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
310,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
312,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
315,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
317,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
319,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
320,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
321,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
322,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
323,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
324,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
325,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
326,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
327,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
328,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Bareland,Water
329,NULL,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
