Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
182,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
185,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
192,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,NULL
241,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
243,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
280,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
285,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
304,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
305,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
306,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
308,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
311,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
312,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Water
313,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
317,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
318,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
321,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
322,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
