Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRM_M_R
1325,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
1326,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
1327,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1328,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Cropland
1329,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Wetland
1330,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
1331,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Water
1332,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1333,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
1334,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1335,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1336,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
1337,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1338,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
1339,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
1340,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1341,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
1342,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
1343,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
1344,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1345,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1346,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1347,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1348,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1349,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,NULL
1350,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1351,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
1352,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
1353,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1354,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1355,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1356,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1357,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Water
1358,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1359,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,NULL
1360,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
1361,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
1362,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
1363,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
1364,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Water
1365,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,NULL
1366,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,Grassland
1367,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,Wetland
1368,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,Bareland
1369,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,NULL
1370,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1371,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Cropland
1372,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
1373,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
1374,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
1375,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,NULL
1376,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
1377,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
1378,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Built-up,Bareland
1379,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,NULL
1380,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Grassland
1381,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Cropland
1382,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Wetland
1383,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Bareland
1384,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Water
1385,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
1386,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
1387,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
1388,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Wetland
1389,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
1390,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
1391,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
1392,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
1393,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
1394,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1395,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
1396,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Water
1397,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1398,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
1399,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1400,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1401,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1402,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1403,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1404,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1405,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
1406,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
1407,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1408,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
1409,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
1410,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
1411,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1412,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1413,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
1414,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Water
1415,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1416,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
1417,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
1418,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
1419,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
1420,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1421,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
1422,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
1423,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
1424,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
1425,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1426,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1427,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
1428,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1429,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1430,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
1431,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1432,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1433,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,NULL
1434,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
1435,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1436,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
1437,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
1438,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Water
1439,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1440,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1441,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
1442,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
1443,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1444,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1445,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1446,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1447,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1448,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Water
1449,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1450,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1451,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
1452,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
1453,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
1454,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1455,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Cropland
1456,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Wetland
1457,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
1458,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1459,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
1460,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
1461,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1462,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Water
1463,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
1464,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1465,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
1466,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1467,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
1468,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
1469,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
1470,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
1471,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1472,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1473,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
1474,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1475,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Cropland
1476,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
1477,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,NULL,NULL
1478,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
1479,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
1480,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
1481,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
1482,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
1483,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Bareland
1484,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Water
1485,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Forest
1486,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,NULL
1487,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Forest
1488,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,NULL
1489,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1490,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
1491,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
1492,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Bareland
1493,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
1494,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
1495,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
1496,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Water
1497,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
1498,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
1499,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
1500,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
1501,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Cropland
1502,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
1503,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1504,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1505,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1506,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1507,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1508,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
1509,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Grassland
1510,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,NULL
1511,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
1512,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
1513,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Wetland
1514,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Bareland
1515,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Water
1516,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Wetland
1517,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
1518,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Water
1519,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,NULL
1520,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Grassland
1521,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Cropland
1522,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Wetland
1523,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Bareland
1524,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Water
1525,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Forest
1526,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,NULL
1527,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Water
1528,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1529,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Cropland
1530,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Wetland
1531,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Bareland
1532,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Water
1533,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,Wetland
1534,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,NULL
1535,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
1536,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Wetland
1537,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Water
1538,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Forest
1539,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,NULL
1540,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1541,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
1542,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Wetland
1543,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Bareland
1544,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Water
1545,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Forest
1546,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1547,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
1548,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1549,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
1550,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
1551,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Bareland
1552,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Water
1553,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Built-up,Cropland
1554,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,NULL
1555,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1556,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Cropland
1557,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Bareland
1558,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
1559,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
1560,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
1561,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Cropland
1562,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Wetland
1563,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Bareland
1564,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Water
1565,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,Grassland
1566,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1567,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Cropland
1568,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Wetland
1569,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
1570,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
1571,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1572,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Cropland
1573,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Wetland
1574,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
1575,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
1576,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Cropland
1577,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Bareland
1578,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,NULL
1579,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
1580,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Cropland
1581,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Wetland
1582,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Bareland
1583,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Water
1584,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,Grassland
1585,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,Wetland
1586,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
1587,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Cropland
1588,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Wetland
1589,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
1590,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
1591,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,Grassland
1592,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,NULL
1593,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
1594,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Cropland
1595,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Wetland
1596,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Bareland
1597,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
1598,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Wetland
1599,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,Cropland
1600,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
1601,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1602,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1603,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1604,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
1605,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1606,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
1607,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
1608,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
1609,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Water
1610,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
1611,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
1612,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1613,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Bareland
1614,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Built-up
1615,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Water
1616,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
1617,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
1618,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Wetland
1619,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Water
1620,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
1621,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
1622,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1623,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Bareland
1624,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Water
1625,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
1626,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
1627,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
1628,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Cropland
1629,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
1630,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Bareland
1631,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
1632,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
1633,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
1634,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1635,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Water
1636,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
1637,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,NULL
1638,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Wetland
1639,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Water
1640,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
1641,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
1642,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1643,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
1644,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
1645,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1646,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Water
1647,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1648,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1649,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
1650,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
1651,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
1652,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Wetland
1653,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Water
1654,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,NULL
